timestamp,raw,dec_val,tail,dt_s
2026-03-13 15:50:57.607,J35J40,5,40,1.000
2026-03-13 15:50:58.607,J39J40,9,40,1.000
2026-03-13 15:50:59.607,J34J40,4,40,1.000
2026-03-13 15:51:00.607,J33J40,3,40,1.000
2026-03-13 15:51:01.608,J35J40,5,40,1.000
2026-03-13 15:51:02.608,J33J40,3,40,1.000
2026-03-13 15:51:03.608,J38J40,8,40,1.000
2026-03-13 15:51:04.608,J37J40,7,40,1.000
2026-03-13 15:51:05.609,J37J40,7,40,1.000
2026-03-13 15:51:06.609,J37J40,7,40,1.000
2026-03-13 15:51:07.609,J31J40,1,40,1.001
2026-03-13 15:51:08.610,J35J40,5,40,1.000
2026-03-13 15:51:09.610,J32J40,2,40,1.000
2026-03-13 15:51:10.610,J33J40,3,40,1.000
2026-03-13 15:51:11.610,J37J40,7,40,1.000
2026-03-13 15:51:12.611,J37J40,7,40,1.000
2026-03-13 15:51:13.611,J31J40,1,40,1.000
2026-03-13 15:51:14.612,J38J40,8,40,1.001
2026-03-13 15:51:15.611,J36J40,6,40,1.000
2026-03-13 15:51:16.612,J36J40,6,40,1.001
2026-03-13 15:51:17.612,J34J40,4,40,1.000
2026-03-13 15:51:18.613,J36J40,6,40,1.001
2026-03-13 15:51:19.612,J37J40,7,40,0.999
2026-03-13 15:51:20.613,J35J40,5,40,1.001
2026-03-13 15:51:21.614,J32J40,2,40,1.001
2026-03-13 15:51:22.614,J34J40,4,40,1.000
2026-03-13 15:51:23.614,J36J40,6,40,0.999
2026-03-13 15:51:24.614,J33J40,3,40,1.000
2026-03-13 15:51:25.614,J32J40,2,40,1.000
2026-03-13 15:51:26.614,J34J40,4,40,1.000
2026-03-13 15:51:27.614,J36J40,6,40,1.000
2026-03-13 15:51:28.615,J34J40,4,40,1.000
2026-03-13 15:51:29.615,J32J40,2,40,1.000
2026-03-13 15:51:30.615,J32J40,2,40,1.000
2026-03-13 15:51:31.616,J34J40,4,40,1.001
2026-03-13 15:51:32.616,J36J40,6,40,1.000
