timestamp,raw,dec_val,tail,dt_s
2026-03-11 17:18:08.111,J317J40,23,40,1.000
2026-03-11 17:18:09.111,J323J40,35,40,1.000
2026-03-11 17:18:10.111,J327J40,39,40,1.000
2026-03-11 17:18:11.111,J320J40,32,40,1.000
2026-03-11 17:18:12.112,J318J40,24,40,1.001
2026-03-11 17:18:13.112,J316J40,22,40,1.000
2026-03-11 17:18:14.112,J313J40,19,40,1.000
2026-03-11 17:18:15.113,J318J40,24,40,1.000
2026-03-11 17:18:16.113,J319J40,25,40,1.000
2026-03-11 17:18:17.113,J316J40,22,40,1.000
2026-03-11 17:18:18.113,J323J40,35,40,1.000
2026-03-11 17:18:19.115,J322J40,34,40,1.001
2026-03-11 17:18:20.115,J322J40,34,40,1.000
2026-03-11 17:18:21.116,J319J40,25,40,1.001
2026-03-11 17:18:22.116,J321J40,33,40,1.000
2026-03-11 17:18:23.118,J316J40,22,40,1.001
2026-03-11 17:18:24.117,J321J40,33,40,1.000
2026-03-11 17:18:25.118,J327J40,39,40,1.001
2026-03-11 17:18:26.117,J319J40,25,40,0.999
2026-03-11 17:18:27.119,J320J40,32,40,1.001
2026-03-11 17:18:28.119,J330J40,48,40,1.000
2026-03-11 17:18:29.119,J321J40,33,40,1.000
2026-03-11 17:18:30.119,J315J40,21,40,0.999
2026-03-11 17:18:31.119,J321J40,33,40,1.000
2026-03-11 17:18:32.119,J321J40,33,40,1.000
