point_name,position,distance_cm,height_cm,height_group,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_simulated_gca_cs137_equivalent_proxy [%],simulated_gca_proxy_mc_uncertainty_class,simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],simulated_combined_instrument_indication [uSv/h],u_mc_simulated_combined_instrument_indication [uSv/h],simulated_gamma_instrument_fraction,h1_gamma_group_1_target_reached,h1_gamma_group_1_configured_target_percent,h1_gamma_group_1_max_relative_error_percent,h1_gamma_input_convergence_status,instrument_proxy_status,pairing_method_for_3h,neutron_proxy_response_reference,gamma_proxy_response_reference
P1_x7_h85,P1,7.0,85.0,Upper height group (85–113 cm),0.0,-51.25,44.0,0.0,-42.405,44.0,41.87249181312259,2.4332329601119413,21.873392155595877,0.6605482382683933,3.0198710541538256,Low (<5%),0.249506592018022,0.007534777350557924,42.121998405140616,2.433244626223357,0.005923427222474135,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x57_h85,P1,57.0,85.0,Upper height group (85–113 cm),0.0,-101.25,44.0,0.0,-92.405,44.0,22.793442307215404,1.7154535141929355,10.993859055651246,3.120865942748857,28.387356313656014,Very high (≥25%),0.12540534575476256,0.03559926233577674,22.918847652970168,1.7158228541535818,0.005471712524713722,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x114_h85,P1,114.0,85.0,Upper height group (85–113 cm),0.0,-158.25,44.0,0.0,-149.405,44.0,8.294773952548454,1.0985739357482436,6.414346939354496,2.5076234047253823,39.09397836497032,Very high (≥25%),0.07316751939868338,0.028604094203906742,8.367941471947137,1.0989462618848167,0.00874378957405136,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x176_h85,P1,176.0,85.0,Upper height group (85–113 cm),0.0,-220.25,44.0,0.0,-211.405,44.0,5.9299097751949565,1.0119426652687542,1.820897886585921,1.3525090736472465,74.2770412119662,Very high (≥25%),0.020770716442289065,0.015427873611859691,5.950680491637246,1.0120602635591487,0.0034904775128624483,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x199_h85,P1,199.0,85.0,Upper height group (85–113 cm),0.0,-243.25,44.0,0.0,-234.405,44.0,3.580698376001063,0.7256015113930366,0.4533243472216018,0.4533243472216018,100.0,Very high (≥25%),0.00517100466857035,0.00517100466857035,3.5858693806696333,0.7256199367610716,0.0014420504819405064,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x320_h85,P1,320.0,85.0,Upper height group (85–113 cm),0.0,-364.25,44.0,0.0,-355.405,44.0,2.2656510724705043,0.5847716068070047,4.237576366151456,2.9917163900881265,70.59970444391513,Very high (≥25%),0.048337415157807304,0.034126072237240186,2.3139884876283117,0.5857665242517598,0.02088922024298834,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x420_h85,P1,420.0,85.0,Upper height group (85–113 cm),0.0,-464.25,44.0,0.0,-455.405,44.0,1.691729162643772,0.5437996017767183,0.0,0.0,,Unknown,0.0,0.0,1.691729162643772,0.5437996017767183,0.0,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x2_h55,P2,2.0,55.0,Lower height group (42–55 cm),51.51561146012848,-42.51561146012848,14.0,45.261251980533466,-36.261251980533466,14.0,24.441346096071637,1.8140877956550536,1.961028248035033,1.3890100609945475,70.83070131123034,Very high (≥25%),0.022369163024086244,0.01584423504741271,24.463715259095725,1.814156986076136,0.0009143812698592167,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x57_h55,P2,57.0,55.0,Lower height group (42–55 cm),90.40648442538858,-81.40648442538858,14.0,84.15212494579359,-75.15212494579359,14.0,10.404368533586908,1.1274468788073349,1.0714355293146252,0.7974841082640555,74.43136674534111,Very high (≥25%),0.012221708712789957,0.009096784834564001,10.416590242299698,1.1274835768323757,0.0011732926445700083,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x114_h55,P2,114.0,55.0,Lower height group (42–55 cm),130.7115709530218,-121.7115709530218,14.0,124.4572114734268,-115.4572114734268,14.0,4.535795918166616,0.7578588114134732,1.5964227475933304,0.3730176250151603,23.36584251117061,High (10–<25%),0.01821016129270818,0.0042549576086843436,4.554006079459324,0.7578707559348719,0.003998712556587142,False,80.0,100.0,configured 80% exploratory target not demonstrably reached; 21 point(s) have undefined relative MC uncertainty,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
