tally_name,mean_per_source,std_dev_per_source,relative_error,relative_error_percent,target_reached
gamma_dose_P1_x0_h42,0.0007030240268146857,1.015091914595662e-05,0.014438936307695159,1.4438936307695158,True
gamma_dose_P1_x4_h42,0.0005974060715108097,9.307902676863052e-06,0.01558052909191873,1.5580529091918731,True
gamma_dose_P1_x57_h42,0.00013014293580283418,4.501097580572739e-06,0.03458580024191153,3.458580024191153,True
gamma_dose_P1_x114_h42,5.231236804138891e-05,2.9026034445429144e-06,0.055485988366009535,5.548598836600953,True
gamma_dose_P1_x176_h42,2.7125043491234274e-05,2.055574007150332e-06,0.0757814087123809,7.57814087123809,True
gamma_dose_P1_x199_h42,2.0021528299973765e-05,1.8341880327308562e-06,0.09161079040770627,9.161079040770627,True
gamma_dose_P1_x320_h42,1.0718089551886529e-05,1.3202862095749147e-06,0.12318297987559979,12.318297987559978,True
gamma_dose_P1_x420_h42,4.611575804472921e-06,8.589233895627794e-07,0.1862537722419484,18.62537722419484,True
gamma_dose_P1_x0_h85,0.00015412407046329745,4.5585057832096025e-06,0.029576858238344727,2.9576858238344728,True
gamma_dose_P1_x4_h85,0.0001635980613151014,4.77821476007431e-06,0.029207037795338734,2.9207037795338735,True
gamma_dose_P1_x7_h85,0.00016063271053006763,4.741428866924546e-06,0.02951720637271469,2.951720637271469,True
gamma_dose_P1_x57_h85,9.64766744775511e-05,3.643540082345784e-06,0.03776602066848386,3.7766020668483864,True
gamma_dose_P1_x114_h85,4.702279260638885e-05,2.6005424463291735e-06,0.05530387078660754,5.5303870786607545,True
gamma_dose_P1_x176_h85,2.642681755130244e-05,2.0391258934948357e-06,0.07716123553417947,7.7161235534179475,True
gamma_dose_P1_x199_h85,1.9323027046198825e-05,1.7475169277352628e-06,0.09043701711730666,9.043701711730666,True
gamma_dose_P1_x320_h85,1.0381257900487483e-05,1.2648229220693803e-06,0.12183715443674574,12.183715443674574,True
gamma_dose_P1_x420_h85,4.577328761815617e-06,8.202633322579931e-07,0.17920131477133228,17.92013147713323,True
gamma_dose_P2_x2_h55,1.557664359196783e-05,1.2279337961393385e-06,0.07883173219502361,7.883173219502361,True
gamma_dose_P2_x57_h55,1.2995568293362427e-05,1.1806419229574325e-06,0.09084958012651538,9.084958012651539,True
gamma_dose_P2_x114_h55,4.527825991617256e-06,6.753706948218287e-07,0.149160037526221,14.916003752622101,True
gamma_dose_P2_x176_h55,4.650605387649651e-06,7.659140857261455e-07,0.164691265304973,16.4691265304973,True
gamma_dose_P2_x199_h55,3.0470449139354073e-06,5.983766494726803e-07,0.1963793335424937,19.63793335424937,True
gamma_dose_P2_x321_h55,2.192622772903295e-06,4.6444970777128936e-07,0.2118238091435593,21.18238091435593,True
gamma_dose_P2_x420_h55,1.0512896789121717e-06,3.5365614036019243e-07,0.3364021805351882,33.64021805351882,True
gamma_dose_P2_x0_h85,2.5934685260031898e-05,1.8053377857961666e-06,0.06961093869831471,6.961093869831471,True
gamma_dose_P2_x5_h85,2.353994388644079e-05,1.7145009934673919e-06,0.0728336907572222,7.283369075722219,True
gamma_dose_P2_x30_h85,1.3115165998980543e-05,1.1108492395696852e-06,0.08469959432126385,8.469959432126386,True
gamma_dose_P2_x57_h85,9.226272846449442e-06,8.908748714602899e-07,0.09655847884480528,9.65584788448053,True
