position,number_of_points,minimum_distance_cm,maximum_distance_cm,median_neutron_dose_rate_uSv_h,median_gamma_dose_rate_uSv_h,median_total_dose_rate_uSv_h,minimum_total_dose_rate_uSv_h,maximum_total_dose_rate_uSv_h,median_gamma_dose_fraction,median_rel_u_mc_total_percent
P1,17,0.0,420.0,8.556378392002259,0.15096310644613123,8.643461285232355,0.7958981173672698,166.6913448488804,0.013540026795149204,13.007812722755569
P2,17,0.0,420.0,3.1222653985016167,0.014536241666115031,3.1321161604565075,0.7214584055442448,24.49135372799455,0.004024152086940336,18.757893348927876
P3,18,0.0,400.0,3.640608981706346,0.010362123140947976,3.651476238078491,0.20646174662699696,84.52856483448261,0.0026203294566122925,19.97802968661917
P4,5,0.0,152.0,6.307294279818494,0.012306143950343422,6.313705771848283,3.3609799409803083,27.589152248829123,0.0013081149426018895,14.102342313545499
P5,4,0.0,6.0,75.11559583569147,0.3308588648088042,75.44837964144938,41.81583972710236,129.84732637441908,0.005336820114048527,4.502623869620901
