position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,gamma_dose_per_source [pSv/source],u_mc_gamma_dose_per_source [pSv/source],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],rel_u_mc_gamma_dose_rate [%],gamma_dose_mc_uncertainty_class
P2,P2_x57_h85,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,gamma_dose_P2_x57_h85,8.0,1.1532841058061802e-06,1.1135935893253624e-07,0.02962024866278056,0.0028600861538829697,9.655847884480531,moderate
P2,P2_x114_h85,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,gamma_dose_P2_x114_h85,8.0,8.287661851224369e-07,1.024797434875894e-07,0.021285527445529685,0.0026320275027795314,12.365338418392357,high
P2,P2_x156_h85,156.0,85.0,160.4100557628568,-151.4100557628568,44.0,gamma_dose_P2_x156_h85,8.0,3.835459763351401e-07,6.263538353954371e-08,0.00985076195489082,0.0016086891566350202,16.330606342957253,high
P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,gamma_dose_P2_x176_h85,8.0,3.6544208398552443e-07,6.063468014055792e-08,0.009385792577041831,0.0015573043054261293,16.592144910973015,high
P2,P2_x199_h85,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,gamma_dose_P2_x199_h85,8.0,4.1049981469408616e-07,8.382354763210785e-08,0.010543027972075097,0.002152873097062117,20.41987465806168,high
P2,P2_x300_h85,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,gamma_dose_P2_x300_h85,8.0,2.4446491899034145e-07,6.032037206495614e-08,0.006278688532483213,0.0015492318076702212,24.674449125086667,high
P2,P2_x321_h85,321.0,85.0,277.0826746586372,-268.0826746586372,44.0,gamma_dose_P2_x321_h85,8.0,1.7490340406200024e-07,4.9549434852280186e-08,0.004492112823025319,0.0012725975967550875,28.329600054391037,very high
P3,P3_x0_h45,0.0,45.0,53.25,0.0,4.0,gamma_dose_P3_x0_h45,8.0,6.14957849488811e-06,3.277839029727858e-07,0.15794203984329075,0.00841860272315445,5.330184877634443,moderate
P3,P3_x5_h45,5.0,45.0,58.25,0.0,4.0,gamma_dose_P3_x5_h45,8.0,5.461519050937075e-06,3.0857271107441444e-07,0.14027033889640428,0.007925194136082682,5.649942959028409,moderate
P3,P3_x57_h45,57.0,45.0,110.25,0.0,4.0,gamma_dose_P3_x57_h45,8.0,1.4388010155094629e-06,1.6588646277290834e-07,0.0369532915966621,0.0042605271783294745,11.529493028205145,high
P3,P3_x114_h45,114.0,45.0,167.25,0.0,4.0,gamma_dose_P3_x114_h45,8.0,5.477054064956571e-07,9.788168028285227e-08,0.0140669330763127,0.0025139336395191073,17.87122769320854,high
P3,P3_x176_h45,176.0,45.0,229.25,0.0,4.0,gamma_dose_P3_x176_h45,8.0,2.2585557081621104e-07,6.767226057687088e-08,0.005800737334166222,0.0017380532479099877,29.962626262576833,very high
P3,P3_x199_h45,199.0,45.0,252.25,0.0,4.0,gamma_dose_P3_x199_h45,8.0,1.8867994002314612e-07,6.387070535185985e-08,0.004845941007101116,0.0016404164119359008,33.8513491916653,very high
P3,P3_x225_h45,225.0,45.0,278.25,0.0,4.0,gamma_dose_P3_x225_h45,8.0,1.5019895994025683e-07,5.426569832962005e-08,0.003857618881525717,0.0013937272440420797,36.129210449396446,very high
P3,P3_x300_h45,300.0,45.0,353.25,0.0,4.0,gamma_dose_P3_x300_h45,8.0,1.519494834526966e-07,5.421786265434548e-08,0.0039025782644457356,0.0013924986616056692,35.68150507811633,very high
P3,P3_x0_h85,0.0,85.0,53.25,0.0,44.0,gamma_dose_P3_x0_h85,8.0,6.582017052659071e-06,3.3608404424276185e-07,0.16904852917065055,0.008631778511423065,5.106095009386024,moderate
