particle,side,full_leakage_per_source,full_leakage_std_per_source,no_cabinet_no_lead_leakage_per_source,no_cabinet_no_lead_leakage_std_per_source,full_over_no_cabinet_no_lead_ratio,full_over_no_cabinet_no_lead_ratio_std,shielding_effect_fraction,shielding_effect_percent,full_side_fraction_of_total,no_cabinet_no_lead_side_fraction_of_total
neutron,x_max,0.031268849998689105,1.6802705642625646e-05,0.07604447000000003,2.5965923757605666e-05,0.4111916356138598,0.000261794235697794,0.5888083643861401,58.88083643861401,0.07897644081579372,0.0920895885609396
neutron,x_min,0.08664135999867348,2.8638957383288928e-05,0.1782572200000001,3.701933285624806e-05,0.48604684847364626,0.00018973829306272757,0.5139531515263538,51.395315152635376,0.21883204020685057,0.21586887314510703
neutron,y_max,0.08539545999776739,2.924393601759487e-05,0.18147314,3.725543740376792e-05,0.4705680410763124,0.00018788570076212194,0.5294319589236876,52.943195892368756,0.21568524242925138,0.21976334107479195
neutron,y_min,0.03957602999932828,1.968649523172099e-05,0.07439397714177001,2.4547340878324263e-05,0.5319789520583046,0.00031755075223948137,0.4680210479416954,46.802104794169544,0.09995807300546905,0.09009084745278051
neutron,z_max,0.07154934999827693,2.4500502152426665e-05,0.13870191000000007,3.436874197116758e-05,0.5158497817245408,0.00021803799422901344,0.48415021827545923,48.41502182754592,0.18071380961513855,0.1679675303742202
neutron,z_min,0.08149524999869157,2.5939438748315972e-05,0.17689548714177009,3.617956390675298e-05,0.4606971682289356,0.0001743003753821461,0.5393028317710644,53.93028317710644,0.2058343939274967,0.2142198193921607
photon,x_max,0.00210949,4.517055166228654e-06,0.2007274700000001,3.999005009124116e-05,0.010509224273090268,2.2600611801388224e-05,0.9894907757269097,98.94907757269097,0.034043722708004986,0.08828856802842187
photon,x_min,0.016050989999999994,1.3475589888586417e-05,0.4888157000000002,5.25377583404211e-05,0.03283648622579018,2.7792824490736312e-05,0.9671635137742098,96.71635137742098,0.2590367590028684,0.21500215283344454
photon,y_max,0.009175149999999993,9.621455180993593e-06,0.49615549999999986,5.260183462903618e-05,0.018492488745967737,1.9490870514155692e-05,0.9815075112540322,98.15075112540322,0.14807193321814832,0.21823051231814775
photon,y_min,0.010285130000000007,9.8191291260086e-06,0.19678098000000022,3.882921703103071e-05,0.052266890834673126,5.095344696201938e-05,0.9477331091653268,94.77331091653268,0.1659851972447291,0.08655273211698196
photon,z_max,0.015019569999999994,1.2243534558205753e-05,0.3971021700000003,5.123243118859543e-05,0.03782293609727689,3.1215968957096185e-05,0.9621770639027231,96.21770639027231,0.2423913250470352,0.174662600740591
photon,z_min,0.009323810000000007,1.0073162612093231e-05,0.4939568099999997,5.332357598547829e-05,0.01887575960335482,2.04943509833711e-05,0.9811242403966451,98.11242403966452,0.15047106277921404,0.21726343396241285
