particle,full_total_leakage_per_source,full_total_leakage_std_per_source,no_cabinet_no_lead_total_leakage_per_source,no_cabinet_no_lead_total_leakage_std_per_source,full_over_no_cabinet_no_lead_ratio,full_over_no_cabinet_no_lead_ratio_std,shielding_effect_fraction,shielding_effect_percent,full_total_leakage_rate,no_cabinet_no_lead_total_leakage_rate,leakage_rate_unit
neutron,0.39592629999142676,6.015326901776011e-05,0.8257662042835403,8.077976869992707e-05,0.47946537159987596,8.663928187547763e-05,0.520534628400124,52.0534628400124,4751115.599897121,9909194.451402484,n/s
photon,0.061964139999999994,2.534473811860907e-05,2.2735386300000004,0.00011875288215741571,0.027254491822731854,1.1238233403713296e-05,0.9727455081772681,97.27455081772682,484882.8468435364,17790933.325680852,photons/s
