particle,no_cabinet_no_lead_leakage_rate,full_geometry_leakage_rate,shielded_rate,shielded_fraction,shielded_percent,unit
neutron,9909194.451402484,4751115.599897121,5158078.851505362,0.520534628400124,52.0534628400124,n/s
photon,17790933.325680852,484882.8468435364,17306050.478837315,0.9727455081772681,97.27455081772682,photons/s
