point_name,position,distance_cm,height_cm,neutron_flux_x_cm,neutron_flux_y_cm,neutron_flux_z_cm,neutron_flux [n/cm2/s],u_mc_neutron_flux [n/cm2/s],rel_u_mc_neutron_flux [%],neutron_flux_tally_volume_cm3,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,gamma_flux_tally_volume_cm3,gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_gamma_flux [%],common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,neutron_dose_per_source [pSv/source],u_mc_neutron_dose_per_source [pSv/source],neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],rel_u_mc_neutron_dose_rate [%],neutron_dose_mc_uncertainty_class,gamma_dose_per_source [pSv/source],u_mc_gamma_dose_per_source [pSv/source],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],rel_u_mc_gamma_dose_rate [%],gamma_dose_mc_uncertainty_class,common_flux_x_cm,common_flux_y_cm,common_flux_z_cm,common_flux_tally_volume_cm3,common_neutron_flux [n/cm2/s],u_mc_common_neutron_flux [n/cm2/s],rel_u_mc_common_neutron_flux [%],common_gamma_flux [photon/cm2/s],u_mc_common_gamma_flux [photon/cm2/s],rel_u_mc_common_gamma_flux [%],x_cm,y_cm,z_cm,flux_centre_separation_cm,total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],rel_u_mc_total_dose_rate [%],total_dose_mc_uncertainty_class,neutron_dose_rate_std [uSv/h],gamma_dose_rate_std [uSv/h],total_dose_rate_std [uSv/h],neutron_dose_rel_unc [%],gamma_dose_rel_unc [%],total_dose_rel_unc [%],neutron_flux_std [n/cm2/s],gamma_flux_std [photon/cm2/s],neutron_flux_rel_unc [%],gamma_flux_rel_unc [%],common_gamma_to_neutron_flux_ratio,common_total_particle_flux [particles/cm2/s],u_mc_common_total_particle_flux [particles/cm2/s],u_mc_common_gamma_to_neutron_flux_ratio,gamma_to_neutron_dose_ratio,neutron_dose_fraction,gamma_dose_fraction,u_mc_gamma_to_neutron_dose_ratio,u_mc_neutron_dose_fraction,u_mc_gamma_dose_fraction,height_group
P1_x0_h42,P1,0.0,42.0,0.0,-44.25,1.0,177.15521207066476,4.600418640831474,2.5968294057283683,8.0,0.0,-35.405,1.0,2.477979114806917,62.04718862535076,2.182215344413969,3.517025336297633,0.0,-44.25,1.0,0.003084872631079417,0.00010122389784461223,121.49949771851662,3.986761923758079,3.2812990988607957,low,3.735958599516076e-05,2.5845690952041697e-06,0.9595209207722926,0.0663805032087654,6.918088159592969,moderate,0.0,-44.25,1.0,8.0,179.085533529109,4.601233288041354,2.5692936762496554,42.22532573480115,2.152622111784387,5.097940807618791,0.0,-44.25,1.0,8.844999999999999,122.45901863928891,3.987314510787112,3.256039902240283,low,3.986761923758079,0.0663805032087654,3.987314510787112,3.2812990988607957,6.918088159592969,3.256039902240283,4.600418640831474,2.182215344413969,2.5968294057283683,3.517025336297633,0.2357830077209321,221.31085926391015,5.079874971603427,0.013460354124956565,0.007897324176559627,0.9921645548736706,0.00783544512632936,0.000604683768335247,0.0005952449594405096,0.0005952449594405096,Lower height group (42–55 cm)
P1_x4_h42,P1,4.0,42.0,0.0,-48.25,1.0,146.68212194049772,4.473018636377919,3.049464090922014,8.0,0.0,-39.405,1.0,2.477979114806917,52.40359837687933,2.1174014879203105,4.040565063284884,0.0,-48.25,1.0,0.0026471568341723656,8.789542771268742e-05,104.25980719390064,3.4618123974567365,3.32037099494968,low,3.014284936097598e-05,2.2582999985782578e-06,0.7741706392916285,0.05800080585198552,7.491992450793104,moderate,0.0,-48.25,1.0,8.0,154.46100177815634,4.183424568833001,2.708401810601629,33.73988962258594,1.7542173455675283,5.199238542835158,0.0,-48.25,1.0,8.844999999999999,105.03397783319227,3.4622982495251096,3.2963602073832656,low,3.4618123974567365,0.05800080585198552,3.4622982495251096,3.32037099494968,7.491992450793104,3.2963602073832656,4.473018636377919,2.1174014879203105,3.049464090922014,4.040565063284884,0.218436299351759,188.20089140074228,4.536333279048792,0.012805570123087336,0.007425398723899796,0.9926293314291009,0.007370668570899153,0.000608496879925879,0.0005995598799301842,0.0005995598799301842,Lower height group (42–55 cm)
P1_x57_h42,P1,57.0,42.0,0.0,-101.25,1.0,32.214048491732484,2.026094679635712,6.28947547575616,8.0,0.0,-92.405,1.0,2.477979114806917,9.711539200266092,1.1135937699062102,11.466707253528856,0.0,-101.25,1.0,0.00047865692411144437,4.3233989555019995e-05,18.852180564317578,1.7027957531797662,9.032354360124945,moderate,6.411404328076077e-06,9.299749048265581e-07,0.16466661555392717,0.023884910745260637,14.505011027835508,high,0.0,-101.25,1.0,8.0,27.613999300500726,1.9288982493798903,6.985218723261551,6.933795993935661,0.8037643213227551,11.59198110278601,0.0,-101.25,1.0,8.844999999999999,19.016847179871505,1.7029632603225344,8.955024164705105,moderate,1.7027957531797662,0.023884910745260637,1.7029632603225344,9.032354360124945,14.505011027835508,8.955024164705105,2.026094679635712,1.1135937699062102,6.28947547575616,11.466707253528856,0.25109713078793083,34.54779529443638,2.089661585207575,0.033983314110892976,0.008734619053331132,0.9913410138917129,0.008658986108287157,0.0014925180985536045,0.0014667826176724451,0.0014667826176724451,Lower height group (42–55 cm)
P1_x114_h42,P1,114.0,42.0,0.0,-158.25,1.0,11.593492991525263,1.274613879642905,10.994217882174388,8.0,0.0,-149.405,1.0,2.477979114806917,2.4600306749043,0.5367842425401338,21.820225577513003,0.0,-158.25,1.0,0.00017694235541494663,2.513984348464634e-05,6.968977289841893,0.9901473160782885,14.207928579729268,high,3.0616316347283253e-06,6.808639049796571e-07,0.078633087786375,0.017486895093305435,22.238596480927516,high,0.0,-158.25,1.0,8.0,10.324536995185621,1.1699957294669636,11.332185937369763,2.8231913391542225,0.5439310463290069,19.266531417312965,0.0,-158.25,1.0,8.844999999999999,7.047610377628268,0.9903017212128041,14.051595762960869,high,0.9901473160782885,0.017486895093305435,0.9903017212128041,14.207928579729268,22.238596480927516,14.051595762960869,1.274613879642905,0.5367842425401338,10.994217882174388,21.820225577513003,0.2734448373298182,13.147728334339844,1.2902522970843728,0.06112074279241275,0.011283303778445655,0.9888425886828272,0.011157411317172926,0.002977638871811576,0.002911564068311605,0.002911564068311605,Lower height group (42–55 cm)
P1_x176_h42,P1,176.0,42.0,0.0,-220.25,1.0,5.496818850416658,0.8653820872851108,15.743325564012627,8.0,0.0,-211.405,1.0,2.477979114806917,1.9000138854469024,0.4941729198822211,26.00891096993149,0.0,-220.25,1.0,9.09296406081835e-05,1.7940251802450162e-05,3.581316632108014,0.7065872221047599,19.72981712283989,high,7.65639909197916e-07,2.934062239771696e-07,0.01966423050696436,0.0075356672910498025,38.32169933311624,very high,0.0,-220.25,1.0,8.0,5.9763386546710375,0.8952015246594638,14.979096339525281,0.8386304630439861,0.24756077164208973,29.519649303403035,0.0,-220.25,1.0,8.844999999999999,3.6009808626149784,0.7066274044524757,19.623192441498663,high,0.7065872221047599,0.0075356672910498025,0.7066274044524757,19.72981712283989,38.32169933311624,19.623192441498663,0.8653820872851108,0.4941729198822211,15.743325564012627,26.00891096993149,0.14032512404371902,6.814969117715024,0.928801434865739,0.046451283489803756,0.005490782448741405,0.9945392016072298,0.005460798392770266,0.0023666599299355315,0.00234088279900656,0.00234088279900656,Lower height group (42–55 cm)
P1_x199_h42,P1,199.0,42.0,0.0,-243.25,1.0,4.06171590447158,0.7151316008067488,17.606637628679394,8.0,0.0,-234.405,1.0,2.477979114806917,1.1566768462971817,0.4078521746385294,35.260684602114104,0.0,-243.25,1.0,5.198987487911701e-05,1.4286988149311674e-05,2.0476513748481637,0.5627013143308864,27.480328011041994,very high,3.9326840101197265e-07,1.865553934942717e-07,0.010100466806525472,0.004791375444145648,47.437168359883614,very high,0.0,-243.25,1.0,8.0,3.3518934689123805,0.6112418092405257,18.23571706289523,0.6990647149982733,0.24148778487816874,34.54441050980026,0.0,-243.25,1.0,8.844999999999999,2.057751841654689,0.5627217131303481,27.34643224412569,very high,0.5627013143308864,0.004791375444145648,0.5627217131303481,27.480328011041994,47.437168359883614,27.34643224412569,0.7151316008067488,0.4078521746385294,17.606637628679394,35.260684602114104,0.20855815421398377,4.050958183910653,0.6572160220270014,0.0814674621906732,0.004932708238615294,0.9950915039403374,0.0049084960596625865,0.002704210068897338,0.002677728013397201,0.002677728013397201,Lower height group (42–55 cm)
P1_x320_h42,P1,320.0,42.0,0.0,-364.25,1.0,1.292305174607791,0.4035930762682689,31.23047745984285,8.0,0.0,-355.405,1.0,2.477979114806917,0.1845965458458599,0.1449650065488941,78.53072541776673,0.0,-364.25,1.0,4.4429618257896137e-05,1.3338244120067607e-05,1.7498862830751487,0.5253344804929975,30.021063972786,very high,3.201299422665569e-07,2.103394404097367e-07,0.008222023044103752,0.005402230462693617,65.70439457193824,very high,0.0,-364.25,1.0,8.0,2.3783840093563753,0.5708132129391393,24.000044176785796,0.29902716059867596,0.16848132796806678,56.343152117270506,0.0,-364.25,1.0,8.845000000000027,1.7581083061192524,0.5253622564372317,29.882246424106043,very high,0.5253344804929975,0.005402230462693617,0.5253622564372317,30.021063972786,65.70439457193824,29.882246424106043,0.4035930762682689,0.1449650065488941,31.23047745984285,78.53072541776673,0.12572703122049536,2.677411169955051,0.5951585351314274,0.07699744407815011,0.004698604202814165,0.995323369433222,0.0046766305667780925,0.0033941787135421354,0.0033625063073535566,0.0033625063073535566,Lower height group (42–55 cm)
P1_x420_h42,P1,420.0,42.0,0.0,-464.25,1.0,1.2328808052567266,0.4316697625895901,35.01309783955166,8.0,0.0,-455.405,1.0,2.477979114806917,0.3789900159412814,0.2259589621826258,59.62134955492724,0.0,-464.25,1.0,4.96656022952061e-06,4.673001701455302e-06,0.19561085511150228,0.18404888222757104,94.08929894133908,very high,2.907225496365866e-07,1.839081033423253e-07,0.0074667414288985805,0.004723384051401734,63.25897443188254,very high,0.0,-464.25,1.0,8.0,0.41134058848433686,0.3059711152302805,74.38388619943625,0.26304485567055624,0.14291592365533742,54.33138895304183,0.0,-464.25,1.0,8.845000000000027,0.20307759654040086,0.18410948211897005,90.65967160111764,very high,0.18404888222757104,0.004723384051401734,0.18410948211897005,94.08929894133908,63.25897443188254,90.65967160111764,0.4316697625895901,0.2259589621826258,35.01309783955166,59.62134955492724,0.6394818868709149,0.6743854441548931,0.33770295318448107,0.589047949249966,0.038171406308930976,0.9632320770183376,0.036767922981662454,0.043277847656691806,0.04015388098141634,0.04015388098141634,Lower height group (42–55 cm)
P1_x0_h85,P1,0.0,85.0,0.0,-44.25,44.0,60.15240938324643,2.6718825751131923,4.441854619804077,8.0,0.0,-35.405,44.0,2.477979114806917,4.494994573237803,0.2601225087695815,5.786937103735187,0.0,-44.25,44.0,0.0008524662758913566,4.9074171314870965e-05,33.57487868357565,1.932814698940405,5.756728764848554,moderate,4.460034215079031e-06,6.432532098230556e-07,0.11454881050563274,0.016520924837312163,14.422607065395738,high,0.0,-44.25,44.0,8.0,59.750194020531836,2.5824910779749928,4.322146765059167,5.916503427301136,0.5528246681249386,9.34377330999222,0.0,-44.25,44.0,8.844999999999999,33.68942749408128,1.9328853047704533,5.737364652783227,moderate,1.932814698940405,0.016520924837312163,1.9328853047704533,5.756728764848554,14.422607065395738,5.737364652783227,2.6718825751131923,0.2601225087695815,4.441854619804077,5.786937103735187,0.09902065632235538,65.66669744783297,2.64099891736212,0.010194177882597516,0.003411741605537607,0.9965998587976671,0.003400141202332905,0.0005298111990105728,0.0005262144583623294,0.0005262144583623294,Upper height group (85–113 cm)
P1_x4_h85,P1,4.0,85.0,0.0,-48.25,44.0,59.76703626005971,2.5694308707702103,4.299076935302669,8.0,0.0,-39.405,44.0,2.477979114806917,4.921927730950924,0.2753050223943816,5.593438941883696,0.0,-48.25,44.0,0.0008449094758699585,5.115074556269915e-05,33.27724973199139,2.014601780048531,6.053991229064147,moderate,5.0815057555984095e-06,7.44246880136949e-07,0.1305103081750708,0.019114784939089323,14.646187880767336,high,0.0,-48.25,44.0,8.0,57.851089929075364,2.561226365522025,4.427274176963741,6.451476260309271,0.6215344428048989,9.633987907987803,0.0,-48.25,44.0,8.844999999999999,33.40776004016646,2.0146924597014744,6.030612220870813,moderate,2.014601780048531,0.019114784939089323,2.0146924597014744,6.053991229064147,14.646187880767336,6.030612220870813,2.5694308707702103,0.2753050223943816,4.299076935302669,5.593438941883696,0.11151866400820955,64.30256618938463,2.6355617160366323,0.01182384383837407,0.003921907886804826,0.996093413386047,0.003906586613953078,0.0006215470865017374,0.0006167003171360971,0.0006167003171360971,Upper height group (85–113 cm)
