position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,tally,statepoint_file,detector_volume_cm3,flux_per_source [n/cm2/source],u_mc_per_source [n/cm2/source],flux_physical [n/cm2/s],u_mc_physical [n/cm2/s],rel_u_mc [%],mc_uncertainty_class
P1,P1_x420_h85,420.0,85.0,0.0,-464.25,44.0,flux_P1_x420_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,9.11272895616189e-08,3.3105381163870194e-08,0.9969725418806011,0.362187399270251,36.32872361630468,very high
P2,P2_x2_h55,2.0,55.0,51.515611460128476,-42.515611460128476,14.0,flux_P2_x2_h55,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,4.137607757158532e-06,2.0629610716046608e-07,45.267244782584214,2.2569699518690363,4.985878779919396,low
P2,P2_x57_h55,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,flux_P2_x57_h55,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.3821047176999907e-06,1.2489041581024522e-07,15.120832191753067,1.3663559610501972,9.036248426825413,moderate
P2,P2_x114_h55,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,flux_P2_x114_h55,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,7.322018224711954e-07,8.621304071813634e-08,8.010609287628503,0.94320850276027,11.774491413742409,high
P2,P2_x176_h55,176.0,55.0,174.55219138658774,-165.55219138658774,14.0,flux_P2_x176_h55,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,4.086601218168258e-07,6.712316904159193e-08,4.47092108602071,0.7343569284284145,16.425182066499413,high
P2,P2_x199_h55,199.0,55.0,190.81564735387835,-181.81564735387835,14.0,flux_P2_x199_h55,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.841551970686183e-07,6.21619890606101e-08,3.1087825663740802,0.6800794420666361,21.87606973297733,high
P2,P2_x321_h55,321.0,55.0,277.08267465863713,-268.08267465863713,14.0,flux_P2_x321_h55,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.1949185029680787e-07,3.6360213391472385e-08,1.3072932850029608,0.3977966923256891,30.42903202281714,very high
P2,P2_x420_h55,420.0,55.0,347.0862459961053,-338.0862459961053,14.0,flux_P2_x420_h55,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,8.756317998989531e-08,3.327951372478858e-08,0.9579796189443873,0.36409248591024806,38.00628726438327,very high
P2,P2_x0_h85,0.0,85.0,50.10139789775538,-41.10139789775538,44.0,flux_P2_x0_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.2423950363908694e-06,1.664966605328864e-07,24.53278584368917,1.821546538524682,7.424947782655748,moderate
P2,P2_x5_h85,5.0,85.0,53.63693180368812,-44.63693180368812,44.0,flux_P2_x5_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.6907644714536824e-06,1.4303998847900647e-07,18.49770536285709,1.564920251557118,8.460077727799886,moderate
P2,P2_x30_h85,30.0,85.0,71.3146013333518,-62.3146013333518,44.0,flux_P2_x30_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.66092468733698e-06,1.3490686715949368e-07,18.1712450284928,1.4759403348456137,8.122395204793705,moderate
P2,P2_x57_h85,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,flux_P2_x57_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,1.430297482784485e-06,1.2106574160430707e-07,15.648082192687797,1.324512346658693,8.464374933291348,moderate
P2,P2_x114_h85,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,flux_P2_x114_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,5.697443281866962e-07,8.005060051960795e-08,6.233253000576296,0.8757887024077126,14.050267209220312,high
P2,P2_x156_h85,156.0,85.0,160.41005576285679,-151.41005576285679,44.0,flux_P2_x156_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,3.6698436296366013e-07,6.047497902793608e-08,4.014969993449825,0.661622811911782,16.478898048831713,high
P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,flux_P2_x176_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,3.752100037934689e-07,6.762035246549454e-08,4.104962114209064,0.7397963332904884,18.022001487656382,high
P2,P2_x199_h85,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,flux_P2_x199_h85,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/neutron/openmc_run/statepoint.200.h5,8.0,2.37729586525199e-07,5.203391148457453e-08,2.6008660116900484,0.5692738283594888,21.88785680618639,high
