measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_duration_min,files,mean_cps,std_cps,sem_cps,pooled_poisson_sem_cps,between_file_std_cps,between_file_sem_cps,effective_uncertainty_cps,maximum_pairwise_repeat_z,is_repeated_measurement,repeat_agreement_flag,any_file_requires_review
scan,P3,P3_x176_h45,176.0,45.0,,1,600,10.0,G_P3_x_176_y_45_10_min.txt,2.098333333333333,1.036236877842396,0.042304193389476906,0.059137316664033907,,,0.059137316664033907,,False,not_repeated,False
scan,P3,P3_x176_h88,176.0,88.0,,1,600,10.0,G_P3_x_176_y_88_10_min.txt,2.0933333333333333,1.0114315986198474,0.04129152210576848,0.0590668171555645,,,0.0590668171555645,,False,not_repeated,False
scan,P3,P3_x199_h45,199.0,45.0,,1,600,10.0,G_P3_x_199_y_45_10_min.txt,2.015,0.8771491612520312,0.03580946455629531,0.057951128835712365,,,0.057951128835712365,,False,not_repeated,False
scan,P3,P3_x225_h45,225.0,45.0,,1,600,10.0,G_P3_x_225_y_45_10_min.txt,2.013333333333333,0.8392433723015883,0.03426196720252508,0.057927157323275885,,,0.057927157323275885,,False,not_repeated,False
scan,P3,P3_x320_h45,320.0,45.0,,1,600,10.0,G_P3_x_320_y_45_10_min.txt,1.9916666666666667,0.6549647728274888,0.02673882488208747,0.05761462005814535,,,0.05761462005814535,,False,not_repeated,False
scan,P3,P3_x320_h65,320.0,65.0,,1,600,10.0,G_P3_x_320_y_65_10_min.txt,2.013333333333333,0.6380967805836412,0.02605019198237662,0.057927157323275885,,,0.057927157323275885,,False,not_repeated,False
scan,P3,P3_x57_h64,57.0,64.0,,1,600,10.0,G_P3_x_57_y_64_10_min.txt,3.55,2.093993317409488,0.08548691920751766,0.0769198717280955,,,0.08548691920751766,,False,not_repeated,False
scan,P3,P3_x5_h64,5.0,64.0,,1,600,10.0,G_P3_x_5_y_64_10_min.txt,9.985,4.176982999522163,0.17052461688515416,0.12900258395344905,,,0.17052461688515416,,False,not_repeated,False
scan,P4,P4_x0_h58,0.0,58.0,,1,600,10.0,G_P4_x_0_y_58_10_min.txt,4.4783333333333335,2.445300877777686,0.0998289903022524,0.0863938012179629,,,0.0998289903022524,,False,not_repeated,False
scan,P4,P4_x138_h105,138.0,105.0,,1,600,10.0,G_P4_x_138_y_105_10_min.txt,2.0,0.8648197434423813,0.03530611818197488,0.05773502691896258,,,0.05773502691896258,,False,not_repeated,False
scan,P4,P4_x20_h58,20.0,58.0,,1,600,10.0,G_P4_x_20_y_58_10_min.txt,3.763333333333333,2.3487265520382112,0.09588635996366832,0.07919736247011148,,,0.09588635996366832,,False,not_repeated,False
scan,P4,P4_x71_h58,71.0,58.0,,1,600,10.0,G_P4_x_71_y_58_10_min.txt,2.685,1.5737119438248206,0.06424652107490458,0.06689544080129825,,,0.06689544080129825,,False,not_repeated,False
scan,P5,P5_x0_h40,0.0,40.0,,1,600,10.0,G_P5_x_0_y_40_10_min.txt,25.578333333333333,7.139010646481288,0.29144888920293033,0.20647168221224807,,,0.29144888920293033,,False,not_repeated,False
scan,P5,P5_x6_h40,6.0,40.0,,1,600,10.0,G_P5_x_6_y_40_10_min.txt,20.53,6.428424462373919,0.262439329714023,0.1849774761063267,,,0.262439329714023,,False,not_repeated,False
scan,P5,P5_x6_h50,6.0,50.0,,1,600,10.0,G_P5_x_6_y_50_10_min.txt,18.101666666666667,5.774389131208593,0.2357384491289019,0.1736935359892372,,,0.2357384491289019,,False,not_repeated,False
scan,P5,P5_x6_h60,6.0,60.0,,1,600,10.0,G_P5_x_6_y_60_10_min.txt,16.345,5.468926487731728,0.22326798892890165,0.16505049732329397,,,0.22326798892890165,,False,not_repeated,False
scan,P5,P5_x6_h85,6.0,85.0,,1,600,10.0,G_P5_x_6_y_85_10_min.txt,16.253333333333334,5.318172664525387,0.21711348986841367,0.1645870252750468,,,0.21711348986841367,,False,not_repeated,False
