measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_duration_min,std_cps,sem_cps,pooled_poisson_sem_cps,between_file_std_cps,between_file_sem_cps,maximum_pairwise_repeat_z,is_repeated_measurement,repeat_agreement_flag,any_file_requires_review,background_height_cm,background_cps,background_uncertainty_cps,background_files
background,background,background_p6_udenfor_dor_y_50,,50.0,p6_udenfor_dor_y_50,1,600,10.0,0.5424239174086644,0.022144363698879885,0.05567764362830022,,,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt
background,background,background_p6_udenfor_dor_y_85,,85.0,p6_udenfor_dor_y_85,1,600,10.0,0.5100547178956734,0.020822896662393658,0.0560257877132387,,,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt
