measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_duration_min,files,mean_cps,std_cps,sem_cps,pooled_poisson_sem_cps,between_file_std_cps,between_file_sem_cps,effective_uncertainty_cps,maximum_pairwise_repeat_z,is_repeated_measurement,repeat_agreement_flag,any_file_requires_review,background_height_cm,background_cps,background_uncertainty_cps,background_files,background_number_of_files,background_total_valid_rows,background_height_difference_cm,net_cps,net_uncertainty_cps,net_signal_sigma,above_background_2sigma,nonpositive_net_cps,gross_gamma_uSv_h,gross_gamma_uncertainty_uSv_h,background_gamma_uSv_h,background_gamma_uncertainty_uSv_h,net_gamma_uSv_h,net_gamma_uncertainty_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,manufacturer_accuracy_limit_uSv_h,within_conservative_countable_range,within_feature_list_countable_range,within_documented_countable_range,vertical_uncertainty_scope,height_group,height_group_label,requires_quality_review,quality_review_reason,final_quality_status,cabinet_surface_x_cm,cabinet_surface_y_cm,cabinet_surface_z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,geometry_x_cm,geometry_y_cm,geometry_z_cm,distance_uncertainty_cm,height_uncertainty_cm,horizontal_line_position_uncertainty_cm,line_position_x_limit_cm,line_position_y_limit_cm,line_position_z_limit_cm,geometry_x_uncertainty_cm,geometry_y_uncertainty_cm,geometry_z_uncertainty_cm,detector_axis_alignment_deg,detector_axis_alignment_uncertainty_deg,active_centre_transverse_orientation_limit_cm,reference_offset_cm,detector_effective_diameter_cm,detector_effective_length_cm,detector_active_volume_cm3,point_name,coordinate_validation_passed,geometry_ready,radial_distance_from_source_cm,distance_from_source_3d_cm,above_cabinet,below_cabinet,geometric_uncertainty_interpretation,detector_orientation_convention,distance_reference_convention
scan,P2,P2_x176_h85,176.0,85.0,,1,600,10.0,G_P2_x_176_y_85_10_min.txt,2.328333333333333,1.2987205295644155,0.05302004359849955,0.062294105303435855,,,0.062294105303435855,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt,1,600,0.0,0.44499999999999984,0.0837821248503787,5.311395489129665,True,False,1.3969999999999998,0.03737646318206151,1.13,0.03361547262794322,0.2669999999999999,0.050269274910227216,0.2669999999999999,0.050269274910227216,0.013349999999999996,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",upper,Upper height group (85–105 cm),False,none,accepted,42.5,-33.5,44.0,166.95079348883235,-157.95079348883235,44.0,0.7071067811865475,-0.7071067811865475,0.0,168.2978319069927,-159.2978319069927,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x176_h85,True,True,231.73251708567548,235.87276119735165,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x200_h85,200.0,85.0,,1,600,10.0,G_P2_x_200_y_85_10_min.txt,2.235,1.1656355249226076,0.04758687103536022,0.06103277807866852,,,0.06103277807866852,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt,1,600,0.0,0.35166666666666657,0.08284859014424378,4.244691020745148,True,False,1.341,0.03661966684720111,1.13,0.03361547262794322,0.21099999999999994,0.04970915408654627,0.21099999999999994,0.04970915408654627,0.010549999999999997,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",upper,Upper height group (85–105 cm),False,none,accepted,42.5,-33.5,44.0,183.92135623730948,-174.92135623730948,44.0,0.7071067811865475,-0.7071067811865475,0.0,185.26839465546988,-176.26839465546988,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x200_h85,True,True,255.72431447289367,259.4820321575878,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x321_h85,321.0,85.0,,1,600,10.0,G_P2_x_321_y_85_10_min.txt,1.965,0.8009437255007569,0.03269839066934416,0.05722761571129799,,,0.05722761571129799,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt,1,600,0.0,0.08166666666666678,0.08008675851155975,1.0197274578778086,False,False,1.179,0.03433656942677879,1.13,0.03361547262794322,0.049000000000000064,0.048052055106935845,0.049000000000000064,0.048052055106935845,0.0024500000000000034,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",upper,Upper height group (85–105 cm),False,none,accepted,42.5,-33.5,44.0,269.48127676088177,-260.48127676088177,44.0,0.7071067811865475,-0.7071067811865475,0.0,270.8283151790421,-261.8283151790421,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x321_h85,True,True,376.6988756715559,379.2598620104879,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x400_h85,400.0,85.0,,1,600,10.0,G_P2_x_400_y_85_10_min.txt,1.925,0.6403580488428822,0.026142507872488153,0.056642151559888096,,,0.056642151559888096,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt,1,600,0.0,0.04166666666666674,0.07966945601811413,0.5229942408191309,False,False,1.155,0.03398529093593285,1.13,0.03361547262794322,0.025000000000000043,0.04780167361086848,0.025000000000000043,0.04780167361086848,0.0012500000000000022,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",upper,Upper height group (85–105 cm),False,none,accepted,42.5,-33.5,44.0,325.34271247461896,-316.34271247461896,44.0,0.7071067811865475,-0.7071067811865475,0.0,326.68975089277933,-317.68975089277933,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x400_h85,True,True,455.68955568533977,457.80888060488996,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x400_h98,400.0,98.0,,1,600,10.0,G_P2_x_400_y_98_10_min_24h.txt,1.915,0.6259083549380869,0.02555260158905228,0.05649483752226098,,,0.05649483752226098,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt,1,600,13.0,0.03166666666666673,0.07956478841520007,0.3979985028228533,False,False,1.149,0.033896902513356586,1.13,0.03361547262794322,0.019000000000000038,0.047738873049120036,0.019000000000000038,0.047738873049120036,0.000950000000000002,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",upper,Upper height group (85–105 cm),False,none,accepted,42.5,-33.5,57.0,325.34271247461896,-316.34271247461896,57.0,0.7071067811865475,-0.7071067811865475,0.0,326.68975089277933,-317.68975089277933,57.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x400_h98,True,True,455.68955568533977,459.24064624192664,True,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P3,P3_x176_h88,176.0,88.0,,1,600,10.0,G_P3_x_176_y_88_10_min.txt,2.0933333333333333,1.0114315986198474,0.04129152210576848,0.0590668171555645,,,0.0590668171555645,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt,1,600,3.0,0.20999999999999996,0.08141116494546541,2.57949877195188,True,False,1.256,0.0354400902933387,1.13,0.03361547262794322,0.12599999999999997,0.048846698967279244,0.12599999999999997,0.048846698967279244,0.006299999999999999,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",upper,Upper height group (85–105 cm),False,none,accepted,42.5,0.0,47.0,218.5,0.0,47.0,1.0,0.0,0.0,220.405,0.0,47.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P3_x176_h88,True,True,220.405,225.36052011166464,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P4,P4_x138_h105,138.0,105.0,,1,600,10.0,G_P4_x_138_y_105_10_min.txt,2.0,0.8648197434423813,0.03530611818197488,0.05773502691896258,,,0.05773502691896258,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt,1,600,20.0,0.1166666666666667,0.08045012257431447,1.4501738833138234,False,False,1.2,0.034641016151377546,1.13,0.03361547262794322,0.07000000000000002,0.04827007354458868,0.07000000000000002,0.04827007354458868,0.003500000000000001,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",upper,Upper height group (85–105 cm),False,none,accepted,42.5,33.5,64.0,140.08073580374355,131.08073580374355,64.0,0.7071067811865475,0.7071067811865475,0.0,141.42777422190392,132.42777422190392,64.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P4_x138_h105,True,True,193.74965988803538,204.04639351561545,True,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P5,P5_x6_h85,6.0,85.0,,1,600,10.0,G_P5_x_6_y_85_10_min.txt,16.253333333333334,5.318172664525387,0.21711348986841367,0.1645870252750468,,,0.21711348986841367,,False,not_repeated,False,85.0,1.8833333333333333,0.0560257877132387,G_P6_udenfor_dor_y_85_10_min.txt,1,600,0.0,14.370000000000001,0.22422568178451516,64.08721733226716,True,False,9.752,0.13026809392104818,1.13,0.03361547262794322,8.622,0.1345354090707091,8.622,0.1345354090707091,0.4311,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",upper,Upper height group (85–105 cm),False,none,accepted,0.0,33.5,44.0,0.0,39.5,44.0,0.0,1.0,0.0,0.0,41.405,44.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P5_x6_h85,True,True,41.405,60.41832524160199,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
