measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_duration_min,files,mean_cps,std_cps,sem_cps,pooled_poisson_sem_cps,between_file_std_cps,between_file_sem_cps,effective_uncertainty_cps,maximum_pairwise_repeat_z,is_repeated_measurement,repeat_agreement_flag,any_file_requires_review,background_height_cm,background_cps,background_uncertainty_cps,background_files,background_number_of_files,background_total_valid_rows,background_height_difference_cm,net_cps,net_uncertainty_cps,net_signal_sigma,above_background_2sigma,nonpositive_net_cps,gross_gamma_uSv_h,gross_gamma_uncertainty_uSv_h,background_gamma_uSv_h,background_gamma_uncertainty_uSv_h,net_gamma_uSv_h,net_gamma_uncertainty_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,manufacturer_accuracy_limit_uSv_h,within_conservative_countable_range,within_feature_list_countable_range,within_documented_countable_range,vertical_uncertainty_scope,height_group,height_group_label,requires_quality_review,quality_review_reason,final_quality_status,cabinet_surface_x_cm,cabinet_surface_y_cm,cabinet_surface_z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,geometry_x_cm,geometry_y_cm,geometry_z_cm,distance_uncertainty_cm,height_uncertainty_cm,horizontal_line_position_uncertainty_cm,line_position_x_limit_cm,line_position_y_limit_cm,line_position_z_limit_cm,geometry_x_uncertainty_cm,geometry_y_uncertainty_cm,geometry_z_uncertainty_cm,detector_axis_alignment_deg,detector_axis_alignment_uncertainty_deg,active_centre_transverse_orientation_limit_cm,reference_offset_cm,detector_effective_diameter_cm,detector_effective_length_cm,detector_active_volume_cm3,point_name,coordinate_validation_passed,geometry_ready,radial_distance_from_source_cm,distance_from_source_3d_cm,above_cabinet,below_cabinet,geometric_uncertainty_interpretation,detector_orientation_convention,distance_reference_convention
scan,P1,P1_x13_h45,13.0,45.0,,1,600,10.0,G_P1_x_13_y_45_10_min.txt,42.555,9.748779727584452,0.3979922657895117,0.2663174797117155,,,0.3979922657895117,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-5.0,40.695,0.40186794302142254,101.26460870214437,True,False,25.532999999999998,0.238795359473707,1.116,0.033406586176980134,24.416999999999998,0.24112076581285352,24.416999999999998,0.24112076581285352,1.22085,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,4.0,0.0,-46.5,4.0,0.0,-1.0,0.0,0.0,-48.405,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x13_h45,True,True,48.405,48.56999099238129,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x57_h45,57.0,45.0,,1,600,10.0,G_P1_x_57_y_45_10_min.txt,13.405,4.987896033874526,0.2036300028840758,0.149471290442903,,,0.2036300028840758,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-5.0,11.545,0.21110466142311665,54.688512902424165,True,False,8.043,0.12217800173044546,1.116,0.033406586176980134,6.927,0.12666279685387,6.927,0.12666279685387,0.34635,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,4.0,0.0,-90.5,4.0,0.0,-1.0,0.0,0.0,-92.405,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x57_h45,True,True,92.405,92.49153488292862,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x124_h45,124.0,45.0,,1,600,10.0,G_P1_x_124_y_45_10_min.txt,5.181666666666667,2.992254423191775,0.12215827529009747,0.09293067906300433,,,0.12215827529009747,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,-5.0,3.3216666666666663,0.1342484421580051,24.742683142327984,True,False,3.109,0.07329496517405848,1.116,0.033406586176980134,1.9929999999999997,0.08054906529480306,1.9929999999999997,0.08054906529480306,0.09964999999999997,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,4.0,0.0,-157.5,4.0,0.0,-1.0,0.0,0.0,-159.405,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x124_h45,True,True,159.405,159.45517873371188,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x6_h50,6.0,50.0,,1,600,10.0,G_P1_x_6_y_50_10_min.txt,57.348333333333336,11.87273910176248,0.4847025441417993,0.3091610511619398,,,0.4847025441417993,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,0.0,55.48833333333334,0.48788990181959385,113.73126011911424,True,False,34.409,0.2908215264850796,1.116,0.033406586176980134,33.293,0.2927339410917563,33.293,0.2927339410917563,1.66465,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,9.0,0.0,-39.5,9.0,0.0,-1.0,0.0,0.0,-41.405,9.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x6_h50,True,True,41.405,42.37185416051556,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P1,P1_x10_h50,10.0,50.0,,1,600,10.0,G_P1_x_10_y_50_10_min.txt,30.63,7.9287162202655805,0.32368848424965246,0.2259424705539001,,,0.32368848424965246,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,0.0,28.77,0.32844213316174514,87.59533901161176,True,False,18.378,0.19421309054979147,1.116,0.033406586176980134,17.262,0.19706527989704709,17.262,0.19706527989704709,0.8631,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,0.0,-33.5,9.0,0.0,-43.5,9.0,0.0,-1.0,0.0,0.0,-45.405,9.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P1_x10_h50,True,True,45.405,46.288378941155415,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x2_h65,2.0,65.0,,1,600,10.0,G_P2_x_2_y_65_10_min.txt,7.575,3.4930469930266455,0.14260304634130652,0.11236102527122116,,,0.14260304634130652,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,15.0,5.715,0.15308699757269006,37.33171393139614,True,False,4.545,0.08556182780478391,1.116,0.033406586176980134,3.429,0.09185219854361404,3.429,0.09185219854361404,0.17145,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,42.5,-33.5,24.0,43.91421356237309,-34.91421356237309,24.0,0.7071067811865475,-0.7071067811865475,0.0,45.261251980533466,-36.261251980533466,24.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x2_h65,True,True,57.99533883029814,62.765112331940315,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x57_h65,57.0,65.0,,1,600,10.0,G_P2_x_57_y_65_10_min.txt,4.455,2.5269119110772156,0.10316074678500463,0.08616843969807043,,,0.10316074678500463,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,15.0,2.5949999999999998,0.11722687267533773,22.136562554107424,True,False,2.673,0.06189644807100277,1.116,0.033406586176980134,1.5569999999999997,0.07033612360520264,1.5569999999999997,0.07033612360520264,0.07784999999999999,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,42.5,-33.5,24.0,82.80508652763321,-73.80508652763321,24.0,0.7071067811865475,-0.7071067811865475,0.0,84.15212494579359,-75.15212494579359,24.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x57_h65,True,True,112.82474026897037,115.34913097531609,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x114_h65,114.0,65.0,,1,600,10.0,G_P2_x_114_y_65_10_min.txt,2.9383333333333335,1.8184357021609843,0.07423732667256762,0.06998015591739006,,,0.07423732667256762,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,15.0,1.0783333333333334,0.09279644751545998,11.620416106485994,True,False,1.7630000000000001,0.04454239600354057,1.116,0.033406586176980134,0.647,0.05567786850927599,0.647,0.05567786850927599,0.032350000000000004,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,42.5,-33.5,24.0,123.11017305526642,-114.11017305526642,24.0,0.7071067811865475,-0.7071067811865475,0.0,124.45721147342678,-115.45721147342678,24.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x114_h65,True,True,169.76444023693793,171.45251578486935,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x176_h65,176.0,65.0,,1,600,10.0,G_P2_x_176_y_65_10_min.txt,2.4233333333333333,1.4494678854003287,0.05917427862969547,0.06355225321645873,,,0.06355225321645873,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,15.0,0.5633333333333332,0.08449194570424384,6.667302174638384,True,False,1.454,0.03813135192987523,1.116,0.033406586176980134,0.3379999999999999,0.0506951674225463,0.3379999999999999,0.0506951674225463,0.016899999999999995,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,42.5,-33.5,24.0,166.95079348883235,-157.95079348883235,24.0,0.7071067811865475,-0.7071067811865475,0.0,168.2978319069927,-159.2978319069927,24.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x176_h65,True,True,231.73251708567548,232.97201435980006,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
scan,P2,P2_x199_h65,199.0,65.0,,1,600,10.0,G_P2_x_199_y_65_10_min.txt,2.2716666666666665,1.2070454922064795,0.049277425870540736,0.061531383139915775,,,0.061531383139915775,,False,not_repeated,False,50.0,1.86,0.05567764362830022,G_P6_udenfor_dor_y_50_10_min.txt,1,600,15.0,0.4116666666666664,0.08298259523003068,4.960879634163186,True,False,1.3629999999999998,0.03691882988394946,1.116,0.033406586176980134,0.24699999999999983,0.04978955713801841,0.24699999999999983,0.04978955713801841,0.012349999999999993,True,True,True,"counting statistics, within-file variation, between-file repeatability, and selected background; geometry, calibration and response systematics excluded",lower,Lower height group (38–65 cm),False,none,accepted,42.5,-33.5,24.0,183.21424945612296,-174.21424945612296,24.0,0.7071067811865475,-0.7071067811865475,0.0,184.56128787428332,-175.56128787428332,24.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,0.0,1.0,1.0,1.0,0.0,1.0,0.03324683426302509,1.905,0.91,3.81,2.477979114806917,P2_x199_h65,True,True,254.72462539356312,255.85275996535793,False,False,estimated symmetric +/- limits; retained separately from vertical CPS/dose-rate SEM,end-on: mica window faces cabinet; tube axis follows outward scan direction,distance_cm is the cabinet-surface-to-mica-window gap
