measurement_kind,position,distance_cm,height_cm,background_height_cm,location_label,physical_point_id,duration_min,replicate_label,file,path,original_rows,valid_rows,invalid_rows,valid_fraction,sampling_interval_s,sampling_interval_consistent,one_second_cps_sampling,observed_duration_s,observed_duration_min,reconstructed_total_counts,mean_cps,median_cps,std_cps,sem_cps,poisson_sem_cps,file_effective_sem_cps,minimum_cps,maximum_cps,duration_difference_s,duration_matches_filename,file_quality_status
scan,P1,321.0,42.0,,,P1_x321_h42,10.0,,G_P1_x_321_y_42_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P1/G_P1_x_321_y_42_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1253.0,2.0883333333333334,2.0,1.0672842709797097,0.04357169790664368,0.05899623340142619,0.05899623340142619,0.0,10.0,0.0,True,valid
scan,P1,420.0,42.0,,,P1_x420_h42,10.0,,G_P1_x_420_y_42_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P1/G_P1_x_420_y_42_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1178.0,1.9633333333333334,2.0,0.8039897728289697,0.032822745030785645,0.05720334100576838,0.05720334100576838,0.0,7.0,0.0,True,valid
scan,P1,13.0,45.0,,,P1_x13_h45,10.0,,G_P1_x_13_y_45_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P1/G_P1_x_13_y_45_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,25533.0,42.555,42.0,9.748779727584452,0.3979922657895117,0.2663174797117155,0.3979922657895117,0.0,78.0,0.0,True,valid
scan,P1,57.0,45.0,,,P1_x57_h45,10.0,,G_P1_x_57_y_45_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P1/G_P1_x_57_y_45_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,8043.0,13.405,13.0,4.987896033874526,0.2036300028840758,0.149471290442903,0.2036300028840758,0.0,30.0,0.0,True,valid
scan,P1,124.0,45.0,,,P1_x124_h45,10.0,,G_P1_x_124_y_45_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P1/G_P1_x_124_y_45_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,3109.0,5.181666666666667,5.0,2.992254423191775,0.12215827529009747,0.09293067906300433,0.12215827529009747,0.0,20.0,0.0,True,valid
scan,P1,6.0,50.0,,,P1_x6_h50,10.0,,G_P1_x_6_y_50_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P1/G_P1_x_6_y_50_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,34409.0,57.348333333333336,57.5,11.87273910176248,0.4847025441417993,0.3091610511619398,0.4847025441417993,0.0,91.0,0.0,True,valid
scan,P1,10.0,50.0,,,P1_x10_h50,10.0,,G_P1_x_10_y_50_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P1/G_P1_x_10_y_50_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,18378.0,30.63,31.0,7.9287162202655805,0.32368848424965246,0.2259424705539001,0.32368848424965246,0.0,52.0,0.0,True,valid
scan,P2,2.0,65.0,,,P2_x2_h65,10.0,,G_P2_x_2_y_65_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_2_y_65_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,4545.0,7.575,7.0,3.4930469930266455,0.14260304634130652,0.11236102527122116,0.14260304634130652,0.0,19.0,0.0,True,valid
scan,P2,57.0,65.0,,,P2_x57_h65,10.0,,G_P2_x_57_y_65_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_57_y_65_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,2673.0,4.455,4.0,2.5269119110772156,0.10316074678500463,0.08616843969807043,0.10316074678500463,0.0,14.0,0.0,True,valid
scan,P2,114.0,65.0,,,P2_x114_h65,10.0,,G_P2_x_114_y_65_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_114_y_65_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1763.0,2.9383333333333335,2.0,1.8184357021609843,0.07423732667256762,0.06998015591739006,0.07423732667256762,0.0,11.0,0.0,True,valid
scan,P2,176.0,65.0,,,P2_x176_h65,10.0,,G_P2_x_176_y_65_10_min.txt,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/gamma_logs_P2/G_P2_x_176_y_65_10_min.txt,600,600,0,1.0,1.0,True,True,600.0,10.0,1454.0,2.4233333333333333,2.0,1.4494678854003287,0.05917427862969547,0.06355225321645873,0.06355225321645873,0.0,12.0,0.0,True,valid
