timestamp,raw,mrem/h,tail,dt_s
2026-02-20 19:32:19.779,J33J40,3,40,1.000
2026-02-20 19:32:20.780,J34J40,4,40,1.000
2026-02-20 19:32:21.780,J37J40,7,40,1.000
2026-02-20 19:32:22.780,J34J40,4,40,1.001
2026-02-20 19:32:23.780,J34J40,4,40,1.000
2026-02-20 19:32:24.781,J30J40,0,40,1.000
2026-02-20 19:32:25.782,J34J40,4,40,1.001
2026-02-20 19:32:26.782,J37J40,7,40,1.000
2026-02-20 19:32:27.781,J32J40,2,40,1.000
2026-02-20 19:32:28.782,J32J40,2,40,1.000
2026-02-20 19:32:29.782,J33J40,3,40,1.000
2026-02-20 19:32:30.782,J34J40,4,40,1.001
2026-02-20 19:32:31.783,J30J40,0,40,1.001
2026-02-20 19:32:32.783,J33J40,3,40,0.999
2026-02-20 19:32:33.785,J34J40,4,40,1.002
2026-02-20 19:32:34.783,J34J40,4,40,0.998
2026-02-20 19:32:35.784,J30J40,0,40,1.001
2026-02-20 19:32:36.784,J36J40,6,40,0.999
2026-02-20 19:32:37.785,J33J40,3,40,1.001
2026-02-20 19:32:38.784,J36J40,6,40,0.999
2026-02-20 19:32:39.785,J33J40,3,40,1.001
2026-02-20 19:32:40.785,J34J40,4,40,1.000
2026-02-20 19:32:41.785,J33J40,3,40,1.000
2026-02-20 19:32:42.785,J30J40,0,40,1.000
2026-02-20 19:32:43.786,J33J40,3,40,1.001
2026-02-20 19:32:44.787,J31J40,1,40,1.001
2026-02-20 19:32:45.787,J34J40,4,40,0.999
2026-02-20 19:32:46.787,J33J40,3,40,1.000
2026-02-20 19:32:47.787,J37J40,7,40,1.001
2026-02-20 19:32:48.787,J37J40,7,40,1.000
2026-02-20 19:32:49.787,J33J40,3,40,1.000
2026-02-20 19:32:50.787,J33J40,3,40,1.000
2026-02-20 19:32:51.788,J31J40,1,40,1.001
2026-02-20 19:32:52.788,J30J40,0,40,1.000
2026-02-20 19:32:53.789,J33J40,3,40,1.001
2026-02-20 19:32:54.789,J34J40,4,40,1.000
2026-02-20 19:32:55.789,J34J40,4,40,1.000
2026-02-20 19:32:56.790,J34J40,4,40,1.000
2026-02-20 19:32:57.789,J33J40,3,40,1.000
2026-02-20 19:32:58.789,J32J40,2,40,1.000
2026-02-20 19:32:59.790,J34J40,4,40,1.001
2026-02-20 19:33:00.791,J32J40,2,40,1.000
2026-02-20 19:33:01.790,J34J40,4,40,1.000
2026-02-20 19:33:02.790,J33J40,3,40,1.000
2026-02-20 19:33:03.791,J32J40,2,40,1.000
2026-02-20 19:33:04.791,J35J40,5,40,1.000
2026-02-20 19:33:05.791,J32J40,2,40,1.000
2026-02-20 19:33:06.792,J35J40,5,40,1.000
2026-02-20 19:33:07.793,J31J40,1,40,1.001
2026-02-20 19:33:08.793,J32J40,2,40,1.000
2026-02-20 19:33:09.792,J33J40,3,40,1.000
2026-02-20 19:33:10.793,J31J40,1,40,1.001
2026-02-20 19:33:11.793,J32J40,2,40,1.000
2026-02-20 19:33:12.794,J31J40,1,40,1.000
2026-02-20 19:33:13.794,J32J40,2,40,1.000
2026-02-20 19:33:14.794,J35J40,5,40,1.000
2026-02-20 19:33:15.796,J32J40,2,40,1.002
2026-02-20 19:33:16.795,J33J40,3,40,0.998
2026-02-20 19:33:17.795,J34J40,4,40,1.000
2026-02-20 19:33:18.796,J32J40,2,40,1.001
