radiation_type,position,physical_point_id,distance_cm,height_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,instrument_model,measurement_quantity,response_reference,instrument_orientation_deg,instrument_orientation_limit_deg,reported_rate_uSv_h,reported_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_position_limit_cm,height_position_limit_cm,analysis_height_interval,analysis_height_interval_label,source_table,source_rate_column,source_uncertainty_column,source_significance_column,source_position_limit_column,source_height_limit_column,reported_relative_uncertainty_percent,component_conversion_factor,u_mc_component_conversion_factor,component_ap_dose_rate_uSv_h,u_component_ap_dose_rate_uSv_h,u_scaled_measurement_uSv_h,u_scaled_notebook3_mc_uSv_h,component_ap_95_upper_uSv_h,central_interpolation_eligible,gamma_upper_limit_only,factor_available,theory_factor_distance_endpoint_representative,theory_factor_height_endpoint_representative,theory_factor_interpolation_status
neutron,P1,P1_x176_h42,176.0,42.0,0.0,-220.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,17.45341098169717,0.5371472043103358,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.077605889608769,1.0,0.2790217495826109,17.45341098169717,4.899415341284434,0.5371472043103358,4.869881268297499,18.336939508913872,True,False,True,False,False,interpolated within Notebook 3 factor support
gamma,P1,P1_x184_h42,184.0,42.0,0.0,-219.405,1.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,0.891,0.0579423897869574,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,6.503074050163568,0.8552398703345,0.43116691595129253,0.7620187244680395,0.38735260154633333,0.0495546419282685,0.38416972211260164,0.8435288569760335,True,False,True,False,False,interpolated within Notebook 3 factor support
neutron,P1,P1_x199_h42,199.0,42.0,0.0,-243.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,13.466666666666669,0.5195384850352843,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.8579590472917147,1.0,0.3886305257167684,13.466666666666669,5.259281977750378,0.5195384850352843,5.233557746319149,14.321231428117828,True,False,True,False,False,interpolated within Notebook 3 factor support
gamma,P1,P1_x203_h42,203.0,42.0,0.0,-238.405,1.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,0.7259999999999999,0.0566793988773271,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,7.807079735169023,0.8078972022341249,0.48627431806496607,0.5865333688219746,0.3559924830513872,0.04579112777730456,0.3530351549151653,0.6618530714286722,True,False,True,False,False,interpolated within Notebook 3 factor support
neutron,P1,P1_x320_h42,320.0,42.0,0.0,-364.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,4.25,0.3049056341606446,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,7.174250215544578,1.0,0.4245619582718427,4.25,1.8299684873455677,0.3049056341606446,1.8043883226553314,4.751525138227075,True,False,True,False,False,interpolated within Notebook 3 factor support
gamma,P1,P1_x321_h42,321.0,42.0,0.0,-356.405,1.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,0.1369999999999999,0.0486723740945518,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,35.527280360986744,3.8729930404492805,3.959151139512593,0.530600046541551,0.5742272705965937,0.18850776613034298,0.5424037061132249,0.8406677293695657,True,False,True,False,False,interpolated within Notebook 3 factor support
gamma,P1,P1_x420_h42,420.0,42.0,0.0,-455.405,1.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,0.0619999999999999,0.0478957200593121,False,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,77.25116138598737,1.7271794334195787,1.5013951848074754,0.10708512487201371,0.1245328875837787,0.08272450263526543,0.09308650145806333,0.24315482306938666,False,True,True,False,False,interpolated within Notebook 3 factor support
neutron,P1,P1_x420_h42,420.0,42.0,0.0,-464.25,1.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,1.65,0.2147619717443303,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,13.015877075413957,1.0,1.3306236263701823,1.65,2.206007756546536,0.2147619717443303,2.1955289835108007,2.0032520081549112,True,False,True,False,False,interpolated within Notebook 3 factor support
gamma,P1,P1_x13_h45,13.0,45.0,0.0,-48.405,4.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,24.417,0.2411207658128535,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,0.9875118393449379,1.3257802187864725,0.1287414685382536,32.3715756021093,3.1596930511005525,0.31967314165332666,3.1434804372985385,32.897391128596745,True,False,True,False,True,endpoint-representative within same P and height interval
gamma,P1,P1_x57_h45,57.0,45.0,0.0,-92.405,4.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,6.927,0.12666279685387,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,1.8285375610490835,1.4864544546780727,0.2748456779487409,10.29667000755501,1.9131430936312694,0.18827847862541883,1.903856011150928,10.606360545998934,True,False,True,False,True,endpoint-representative within same P and height interval
