radiation_type,position,physical_point_id,distance_cm,height_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,instrument_model,measurement_quantity,response_reference,instrument_orientation_deg,instrument_orientation_limit_deg,reported_rate_uSv_h,reported_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_position_limit_cm,height_position_limit_cm,analysis_height_interval,analysis_height_interval_label,source_table,source_rate_column,source_uncertainty_column,source_significance_column,source_position_limit_column,source_height_limit_column,reported_relative_uncertainty_percent
neutron,P1,P1_x57_h85,57.0,85.0,0.0,-101.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,29.133943427620636,0.7204709188874279,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.472960520011103
neutron,P1,P1_x114_h85,114.0,85.0,0.0,-158.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,14.633333333333333,0.5021914505587317,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.4318322361644538
neutron,P1,P1_x176_h85,176.0,85.0,0.0,-220.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,6.904326123128119,0.3509393637449805,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.082890893137325
neutron,P1,P1_x199_h85,199.0,85.0,0.0,-243.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,5.8,0.3403654456853445,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.868369753195595
neutron,P1,P1_x320_h85,320.0,85.0,0.0,-364.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,1.979201331114809,0.2200827609675308,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,11.119776321268263
neutron,P1,P1_x420_h85,420.0,85.0,0.0,-464.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,0.9143094841930116,0.1758168173128827,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,19.22946445951638
neutron,P2,P2_x2_h55,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,42.266666666666666,1.0212779828401737,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.4162728300635026
neutron,P2,P2_x57_h55,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,25.24043261231281,0.7044657706252192,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.79102098385416
neutron,P2,P2_x114_h55,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,13.566666666666666,0.4632496731699649,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.414616755552567
neutron,P2,P2_x176_h55,176.0,55.0,174.55219138658774,-165.55219138658774,14.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,8.917637271214643,0.4015926304513637,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,4.503352381775717
neutron,P2,P2_x199_h55,199.0,55.0,190.81564735387835,-181.81564735387835,14.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,7.503327787021631,0.3792458910503909,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.054369232094133
neutron,P2,P2_x321_h55,321.0,55.0,277.0826746586372,-268.0826746586372,14.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,3.509983361064892,0.2731064681151372,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,7.780847942033538
neutron,P2,P2_x420_h55,420.0,55.0,347.0862459961053,-338.0862459961053,14.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,2.216666666666667,0.2342527002683399,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,10.567790989549167
neutron,P2,P2_x321_h65,321.0,65.0,277.0826746586372,-268.0826746586372,24.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,4.658069883527454,0.2963550386459598,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,6.362185326887724
neutron,P2,P2_x0_h85,0.0,85.0,50.10139789775538,-41.10139789775538,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,25.83943427620632,0.6606920417734876,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.556913726171906
neutron,P2,P2_x5_h85,5.0,85.0,53.63693180368812,-44.63693180368812,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,25.116666666666667,0.6188061668707732,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.4637272735399063
neutron,P2,P2_x30_h85,30.0,85.0,71.3146013333518,-62.3146013333518,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,23.64309484193012,0.640307827477958,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.7082234020497036
neutron,P2,P2_x57_h85,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,19.633111480865225,0.5846282309199597,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.9777665730149225
neutron,P2,P2_x114_h85,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,12.95,0.4580586772549668,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.537132642895497
neutron,P2,P2_x156_h85,156.0,85.0,160.4100557628568,-151.4100557628568,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,10.133333333333333,0.4324398991419221,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,4.267499004690021
neutron,P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,9.300332778702163,0.3835071234475394,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,4.123584957365975
neutron,P2,P2_x199_h85,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,7.519966722129784,0.3782932452003447,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.03051754321069
neutron,P2,P2_x300_h85,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,5.406821963394343,0.3150459107364179,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.826822352749259
neutron,P2,P2_x321_h85,321.0,85.0,277.0826746586372,-268.0826746586372,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,3.8166666666666655,0.2718976028519812,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,7.123954659877239
neutron,P3,P3_x0_h45,0.0,45.0,53.25,0.0,4.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,130.2071547420965,2.02372841860296,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,1.5542374937931738
neutron,P3,P3_x5_h45,5.0,45.0,58.25,0.0,4.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,100.8477537437604,2.210289871837092,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.191709571889047
neutron,P3,P3_x57_h45,57.0,45.0,110.25,0.0,4.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,23.99251247920133,0.6089788511217575,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.538203748563933
neutron,P3,P3_x114_h45,114.0,45.0,167.25,0.0,4.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,12.69467554076539,0.4552229911998541,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.585936400958285
neutron,P3,P3_x176_h45,176.0,45.0,229.25,0.0,4.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,7.416666666666667,0.3772385728253471,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.086362779667601
neutron,P3,P3_x199_h45,199.0,45.0,252.25,0.0,4.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,5.872712146422629,0.3269749758421216,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.567699687806066
