position,distance_cm,height_cm,neutron_dose_rate [uSv/h],u_mc_neutron_dose_rate [uSv/h],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],total_dose_rate [uSv/h],u_mc_total_dose_rate [uSv/h],simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],analysis_height_interval,neutron_component_conversion_factor,u_mc_neutron_component_conversion_factor,gamma_component_conversion_factor,u_mc_gamma_component_conversion_factor,theory_neutron_ap_fraction,theory_gamma_ap_fraction
P1,0.0,42.0,121.49949771851662,3.986761923758079,0.9595209207722926,0.0663805032087654,122.45901863928891,3.987314510787112,121.49949771851662,3.986761923758079,0.7077632252046508,0.0248922119514448,lower,1.0,0.04640457687811553,1.3557089244003113,0.10521332921716743,0.9921645548736706,0.00783544512632936
P1,4.0,42.0,104.25980719390064,3.4618123974567365,0.7741706392916285,0.0580008058519855,105.03397783319228,3.4622982495251096,104.25980719390064,3.4618123974567365,0.5977601986691086,0.0241528897496463,lower,1.0,0.04695713693168085,1.2951190812223554,0.11024203709846897,0.9926293314291007,0.007370668570899152
P1,57.0,42.0,18.852180564317575,1.7027957531797662,0.1646666155539271,0.0238849107452606,19.016847179871505,1.7029632603225344,18.852180564317575,1.7027957531797662,0.1107781103118895,0.0127026016104556,lower,1.0,0.12773678036248456,1.4864544546780727,0.27484567794874093,0.9913410138917127,0.008658986108287154
P1,114.0,42.0,6.968977289841893,0.9901473160782884,0.078633087786375,0.0174868950933054,7.047610377628268,0.990301721212804,6.968977289841893,0.9901473160782884,0.0280612108807339,0.0061230195139577,lower,1.0,0.20093045290681436,2.8021986692086207,0.8730445096903566,0.9888425886828272,0.011157411317172926
P1,176.0,42.0,3.581316632108014,0.7065872221047599,0.0196642305069643,0.0075356672910498,3.6009808626149784,0.7066274044524757,3.581316632108014,0.7065872221047599,0.0216731810947529,0.0056369583752863,lower,1.0,0.2790217495826109,0.907307073243855,0.42021308684261816,0.9945392016072298,0.00546079839277025
P1,199.0,42.0,2.047651374848164,0.5627013143308864,0.0101004668065254,0.0047913754441456,2.057751841654689,0.5627217131303481,2.047651374848164,0.5627013143308864,0.0131940439751102,0.0046523102323278,lower,1.0,0.3886305257167684,0.7655322981778252,0.45248080349027264,0.9950915039403376,0.004908496059662551
P1,320.0,42.0,1.7498862830751487,0.5253344804929975,0.0082220230441037,0.0054022304626936,1.7581083061192524,0.5253622564372317,1.7498862830751487,0.5253344804929975,0.0021056658576166,0.0016535946728606,lower,1.0,0.4245619582718427,3.904714043001198,3.998118737806849,0.995323369433222,0.004676630566778063
P1,420.0,42.0,0.1956108551115022,0.184048882227571,0.0074667414288985,0.0047233840514017,0.2030775965404008,0.18410948211897,0.1956108551115022,0.184048882227571,0.0043230838003411,0.0025774809041538,lower,1.0,1.3306236263701823,1.7271794334195787,1.5013951848074754,0.9632320770183374,0.036767922981662066
P1,0.0,85.0,33.57487868357565,1.932814698940405,0.1145488105056327,0.0165209248373121,33.68942749408128,1.9328853047704533,33.57487868357565,1.932814698940405,0.0512737470772747,0.0029671794940901,upper,1.0,0.08141243894152142,2.234063571226735,0.34717968627846174,0.9965998587976671,0.0034001412023329037
P1,4.0,85.0,33.27724973199139,2.014601780048531,0.1305103081750708,0.0191147849390893,33.40776004016646,2.0146924597014744,33.27724973199139,2.014601780048531,0.0561437112987702,0.0031403642112041,upper,1.0,0.08561636502630278,2.3245757210555045,0.3644452724619498,0.996093413386047,0.003906586613953078
P1,7.0,85.0,32.5111004992097,1.9114169611380651,0.1391896011124137,0.0182686203710042,32.65029010032211,1.91150426152194,32.5111004992097,1.9114169611380651,0.0698247065026613,0.0039680524261605,upper,1.0,0.08314550256018337,1.9934147679819985,0.2851074050231222,0.9957369566798722,0.004263043320127822
P1,57.0,85.0,13.962409960245663,1.2605281555557828,0.0832519328863376,0.0146516912153893,14.045661893132,1.26061330431038,13.962409960245663,1.2605281555557828,0.0496467610554309,0.0051013834253256,upper,1.0,0.12767538114235152,1.676885482889535,0.3417374062814434,0.9940727654189765,0.005927234581023615
P1,114.0,85.0,5.590873536461666,0.8527603388434927,0.0609876484385804,0.0132674679654453,5.651861184900247,0.8528635419635914,5.590873536461666,0.8527603388434927,0.0283843095768694,0.0044054338763104,upper,1.0,0.21570604821971764,2.1486394894832928,0.5741906562329913,0.9892092805461115,0.010790719453888499
P1,176.0,85.0,3.657571823197323,0.8095361530693792,0.0221313218250549,0.0079418342744999,3.679703145022378,0.8095751082253042,3.657571823197323,0.8095361530693792,0.0173112485305872,0.0042140142366377,upper,1.0,0.31301012317545235,1.2784359132705607,0.5543608607417869,0.9939855686850738,0.006014431314926168
P1,199.0,85.0,4.344028620106476,0.8493958171938278,0.0248011761894552,0.0096858261439845,4.368829796295931,0.8494510400808644,4.344028620106476,0.8493958171938278,0.0076961969453615,0.0026300720466734,upper,1.0,0.2765237500827161,3.222523587367768,1.6723146049836393,0.9943231534882676,0.005676846511732416
P1,320.0,85.0,1.7286077808992346,0.5645728676244971,0.0092436769366531,0.0058845483725972,1.737851457835888,0.5646035341434708,1.7286077808992346,0.5645728676244971,0.0062118872070934,0.0029839819967131,upper,1.0,0.4618899759476302,1.4880625852474714,1.1867378039361365,0.9946809740872996,0.005319025912700311
