point_name,position,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,analysis_height_interval,analysis_height_interval_label,target_grid_origin,geometry_reconstruction_mode
P2_x321_h85,P2,321.0,85.0,277.0826746586372,-268.0826746586372,44.0,270.82831517904214,-261.82831517904214,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x0_h45,P3,0.0,45.0,53.25,0.0,4.0,44.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x5_h45,P3,5.0,45.0,58.25,0.0,4.0,49.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x57_h45,P3,57.0,45.0,110.25,0.0,4.0,101.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x114_h45,P3,114.0,45.0,167.25,0.0,4.0,158.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x176_h45,P3,176.0,45.0,229.25,0.0,4.0,220.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x199_h45,P3,199.0,45.0,252.25,0.0,4.0,243.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x225_h45,P3,225.0,45.0,278.25,0.0,4.0,269.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x300_h45,P3,300.0,45.0,353.25,0.0,4.0,344.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x0_h85,P3,0.0,85.0,53.25,0.0,44.0,44.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x5_h85,P3,5.0,85.0,58.25,0.0,44.0,49.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x57_h85,P3,57.0,85.0,110.25,0.0,44.0,101.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x100_h85,P3,100.0,85.0,153.25,0.0,44.0,144.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x114_h85,P3,114.0,85.0,167.25,0.0,44.0,158.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x176_h85,P3,176.0,85.0,229.25,0.0,44.0,220.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x200_h85,P3,200.0,85.0,253.25,0.0,44.0,244.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x225_h85,P3,225.0,85.0,278.25,0.0,44.0,269.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x300_h85,P3,300.0,85.0,353.25,0.0,44.0,344.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P3_x400_h85,P3,400.0,85.0,453.25,0.0,44.0,444.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P4_x0_h42,P4,0.0,42.0,50.10139789775538,41.10139789775538,1.0,43.84703841816037,34.84703841816037,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P4_x20_h42,P4,20.0,42.0,64.24353352148633,55.243533521486334,1.0,57.98917404189133,48.98917404189133,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P4_x71_h42,P4,71.0,42.0,100.30597936200024,91.30597936200024,1.0,94.05161988240523,85.05161988240525,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P4_x85_h45,P4,85.0,45.0,110.20547429861192,101.20547429861192,4.0,103.95111481901692,94.95111481901692,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P4_x152_h113,P4,152.0,113.0,157.5816286381106,148.5816286381106,72.0,151.3272691585156,142.3272691585156,72.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P5_x0_h45,P5,0.0,45.0,0.0,44.25,4.0,0.0,35.405,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P5_x6_h45,P5,6.0,45.0,0.0,50.25,4.0,0.0,41.405,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry
P5_x0_h85,P5,0.0,85.0,0.0,44.25,44.0,0.0,35.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
P5_x6_h85,P5,6.0,85.0,0.0,50.25,44.0,0.0,41.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry
