radiation_type,position,physical_point_id,distance_cm,height_cm,geometry_x_cm,geometry_y_cm,geometry_z_cm,instrument_model,measurement_quantity,response_reference,instrument_orientation_deg,instrument_orientation_limit_deg,reported_rate_uSv_h,reported_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_position_limit_cm,height_position_limit_cm,analysis_height_interval,analysis_height_interval_label,source_table,source_rate_column,source_uncertainty_column,source_significance_column,source_position_limit_column,source_height_limit_column,reported_relative_uncertainty_percent
gamma,P1,P1_x124_h45,124.0,45.0,0.0,-159.405,4.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,1.993,0.080549065294803,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,4.041598860752785
gamma,P1,P1_x6_h50,6.0,50.0,0.0,-41.405,9.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,33.293,0.2927339410917563,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,0.8792657348143944
gamma,P1,P1_x10_h50,10.0,50.0,0.0,-45.405,9.0,GCA-07W-DL with LND 712 GM tube,detector-indicated Cs-137-equivalent gamma dose rate,LND 712 active-volume centre,0.0,1.0,17.262,0.197065279897047,True,1.0,1.0,lower,Lower height interval (38–65 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_5_measured_gamma_outputs/tables/measured_gamma_scan_summary_final.csv,detector_indicated_gamma_dose_rate_cs137_equivalent_uSv_h,detector_indicated_gamma_dose_rate_cs137_equivalent_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,1.141613253951147
neutron,P1,P1_x0_h85,0.0,85.0,0.0,-44.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,78.6846921797005,1.8459536498642588,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.346013689229997
neutron,P1,P1_x7_h85,7.0,85.0,0.0,-51.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,76.4883527454243,1.793490650535123,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.3447892210522383
neutron,P1,P1_x57_h85,57.0,85.0,0.0,-101.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,29.133943427620636,0.7204709188874279,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,2.472960520011103
neutron,P1,P1_x114_h85,114.0,85.0,0.0,-158.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,14.633333333333333,0.5021914505587317,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,3.4318322361644538
neutron,P1,P1_x176_h85,176.0,85.0,0.0,-220.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,6.904326123128119,0.3509393637449805,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.082890893137325
neutron,P1,P1_x199_h85,199.0,85.0,0.0,-243.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,5.8,0.3403654456853445,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,5.868369753195595
neutron,P1,P1_x320_h85,320.0,85.0,0.0,-364.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,1.979201331114809,0.2200827609675308,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,11.119776321268263
neutron,P1,P1_x420_h85,420.0,85.0,0.0,-464.25,44.0,Studsvik AE 2202 D,detector-indicated neutron dose-equivalent rate,nominal centre of the Studsvik cylindrical moderator,90.0,1.0,0.9143094841930116,0.1758168173128827,True,1.0,1.0,upper,Upper height interval (85–113 cm),/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/08_measured_dose_rate_plotting_data.csv,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,above_background_2sigma,horizontal_line_position_uncertainty_cm,height_uncertainty_cm,19.22946445951638
