point_name,position,distance_cm,height_cm,height_group,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,simulated_2202d_equivalent_proxy [uSv/h],u_mc_simulated_2202d_equivalent_proxy [uSv/h],gamma_flux [photon/cm2/s],u_mc_gamma_flux [photon/cm2/s],rel_u_mc_simulated_gca_cs137_equivalent_proxy [%],simulated_gca_proxy_mc_uncertainty_class,simulated_gca_cs137_equivalent_proxy [uSv/h],u_mc_simulated_gca_cs137_equivalent_proxy [uSv/h],simulated_combined_instrument_indication [uSv/h],u_mc_simulated_combined_instrument_indication [uSv/h],simulated_gamma_instrument_fraction,notebook_2_5_group_1_target_reached,notebook_2_5_group_1_configured_target_percent,notebook_2_5_group_1_max_relative_error_percent,notebook_2_5_gamma_input_convergence_status,instrument_proxy_status,pairing_method_for_notebook_6,neutron_proxy_response_reference,gamma_proxy_response_reference
P1_x7_h85,P1,7.0,85.0,Upper height group (85–113 cm),0.0,-51.25,44.0,0.0,-42.405,44.0,32.5111004992097,1.9114169611380654,6.121293931070884,0.3478656259514901,5.682877343722541,moderate,0.06982470650266134,0.0039680524261605015,32.580925205712354,1.9114210799209925,0.002143116135032872,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x57_h85,P1,57.0,85.0,Upper height group (85–113 cm),0.0,-101.25,44.0,0.0,-92.405,44.0,13.962409960245663,1.2605281555557828,4.352362256393484,0.4472208902205883,10.27535999705987,high,0.04964676105543097,0.005101383425325652,14.012056721301095,1.2605384782154474,0.003543145880929677,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x114_h85,P1,114.0,85.0,Upper height group (85–113 cm),0.0,-158.25,44.0,0.0,-149.405,44.0,5.590873536461666,0.8527603388434927,2.488355635893801,0.3862093663045403,15.520665966455253,high,0.028384309576869413,0.004405433876310469,5.619257846038535,0.8527717181943284,0.005051255940654117,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x176_h85,P1,176.0,85.0,Upper height group (85–113 cm),0.0,-220.25,44.0,0.0,-211.405,44.0,3.657571823197323,0.8095361530693792,1.517618130847488,0.3694282591963901,24.34263611427001,high,0.017311248530587228,0.004214014236637763,3.67488307172791,0.8095471209524223,0.004710693699010013,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x199_h85,P1,199.0,85.0,Upper height group (85–113 cm),0.0,-243.25,44.0,0.0,-234.405,44.0,4.344028620106476,0.8493958171938278,0.6746993437369094,0.2305694483222472,34.17365830611433,very high,0.007696196945361548,0.002630072046673464,4.351724817051838,0.8493998890660048,0.001768539434112355,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x320_h85,P1,320.0,85.0,Upper height group (85–113 cm),0.0,-364.25,44.0,0.0,-355.405,44.0,1.7286077808992346,0.5645728676244971,0.5445749701766182,0.2615955268814333,48.03664163936728,very high,0.006211887207093437,0.002983981996713175,1.7348196681063281,0.5645807533084214,0.0035807106186858764,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P1_x420_h85,P1,420.0,85.0,Upper height group (85–113 cm),0.0,-464.25,44.0,0.0,-455.405,44.0,1.0979119654146041,0.3731549848162393,0.6039200678260572,0.2687447872648238,44.50005912739904,very high,0.006888828074891128,0.0030655325665114165,1.1048007934894952,0.3731675765431988,0.006235357645909066,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x2_h55,P2,2.0,55.0,Lower height group (42–55 cm),51.51561146012848,-42.51561146012848,14.0,45.261251980533466,-36.261251980533466,14.0,14.653920723709417,1.1414139609280256,0.5123173742452237,0.0404832540300775,7.901987335432435,moderate,0.005843929518122109,0.00046178657041360594,14.659764653227539,1.141414054341474,0.0003986373353432718,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x57_h55,P2,57.0,55.0,Lower height group (42–55 cm),90.40648442538858,-81.40648442538858,14.0,84.15212494579359,-75.15212494579359,14.0,8.07485577954292,1.0207192218461822,0.6670419155306945,0.1315536808093386,19.72195116174601,high,0.0076088497793726385,0.0015006136374584903,8.082464629322294,1.020720324911562,0.0009414021747485993,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
P2_x114_h55,P2,114.0,55.0,Lower height group (42–55 cm),130.7115709530218,-121.7115709530218,14.0,124.4572114734268,-115.4572114734268,14.0,4.353936976916607,0.754920359276662,0.302379081473101,0.1008254648831757,33.34406083647851,very high,0.003449194051805631,0.0011501013630022675,4.357386170968413,0.7549212353507812,0.0007915741034811841,False,10.0,78.53072541776672,configured target not reached; retained with reported uncertainties,response-labelled proxy; not a full detector-response calculation and not AP total dose,"exact position, nominal distance_cm, and nominal height_cm",Studsvik reference centre; ICRP-116 AP spectrum-weighted neutron proxy,LND 712 active-centre field; Cs-137-energy AP coefficient proxy
