particle,geometry,data_source,dose_quantity,energy_eV,fluence_to_dose [pSv cm2]
photon,AP,icrp116,effective,800000000.0,80.4
photon,AP,icrp116,effective,1000000000.0,81.6
photon,AP,icrp116,effective,1500000000.0,83.7
photon,AP,icrp116,effective,2000000000.0,85.0
photon,AP,icrp116,effective,3000000000.0,86.6
photon,AP,icrp116,effective,4000000000.0,87.8
photon,AP,icrp116,effective,5000000000.0,88.6
photon,AP,icrp116,effective,6000000000.0,89.1
photon,AP,icrp116,effective,8000000000.0,89.9
photon,AP,icrp116,effective,10000000000.0,90.4
