position,point_name,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,tally_name,detector_volume_cm3,gamma_dose_per_source [pSv/source],u_mc_gamma_dose_per_source [pSv/source],gamma_dose_rate [uSv/h],u_mc_gamma_dose_rate [uSv/h],rel_u_mc_gamma_dose_rate [%],gamma_dose_mc_uncertainty_class
P2,P2_x114_h85,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,gamma_dose_P2_x114_h85,8.0,1.7281331259959635e-07,8.955016154846824e-08,0.0044384321830748695,0.0022999519715080304,51.8190179919492,very high
P2,P2_x156_h85,156.0,85.0,160.4100557628568,-151.4100557628568,44.0,gamma_dose_P2_x156_h85,8.0,1.1971448183241642e-07,4.0509832891330735e-08,0.0030746740569474506,0.001040429949123533,33.8387071232024,very high
P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,gamma_dose_P2_x176_h85,8.0,2.1699869369611796e-07,1.0525644444857481e-07,0.005573262680390894,0.00270334260416045,48.50556593486896,very high
P2,P2_x199_h85,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,gamma_dose_P2_x199_h85,8.0,7.825888650588731e-08,3.4912545058930346e-08,0.002009953719735277,0.0008966726072871421,44.6116046594963,very high
P2,P2_x300_h85,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,gamma_dose_P2_x300_h85,8.0,1.4373511923403929e-08,5.922106363080471e-09,0.00036916055218766397,0.00015209978373824788,41.20152677118314,very high
P2,P2_x321_h85,321.0,85.0,277.0826746586372,-268.0826746586372,44.0,gamma_dose_P2_x321_h85,8.0,1.98968113326949e-08,8.68032728794464e-09,0.0005110176202930335,0.00022294025509309335,43.62672562352203,very high
P3,P3_x0_h45,0.0,45.0,53.25,0.0,4.0,gamma_dose_P3_x0_h45,8.0,1.6006085686604525e-06,1.722013298118881e-07,0.04110905853710571,0.00442271438877076,10.758491062933842,high
P3,P3_x5_h45,5.0,45.0,58.25,0.0,4.0,gamma_dose_P3_x5_h45,8.0,1.4184496153412703e-06,1.6118925552128308e-07,0.03643059859275893,0.0041398869595721905,11.363763208642553,high
P3,P3_x57_h45,57.0,45.0,110.25,0.0,4.0,gamma_dose_P3_x57_h45,8.0,2.629360748212701e-07,5.8521549886519993e-08,0.006753090482572192,0.0015030319511412371,22.256949688740814,high
P3,P3_x114_h45,114.0,45.0,167.25,0.0,4.0,gamma_dose_P3_x114_h45,8.0,9.593462891497671e-08,2.692733783869444e-08,0.002463926754498034,0.0006915853939140928,28.068423407942856,very high
P3,P3_x176_h45,176.0,45.0,229.25,0.0,4.0,gamma_dose_P3_x176_h45,8.0,7.020165610705794e-08,1.6209684941797477e-08,0.001803016706777995,0.00041631970500949746,23.090174563798914,high
P3,P3_x199_h45,199.0,45.0,252.25,0.0,4.0,gamma_dose_P3_x199_h45,8.0,1.5828672415813206e-08,7.940532503578328e-09,0.0004065340106550268,0.0002039398150783231,50.165499007014354,very high
P3,P3_x225_h45,225.0,45.0,278.25,0.0,4.0,gamma_dose_P3_x225_h45,8.0,1.9882400851727856e-08,7.284746865601813e-09,0.0005106475102503778,0.00018709701496640596,36.63917109370995,very high
P3,P3_x300_h45,300.0,45.0,353.25,0.0,4.0,gamma_dose_P3_x300_h45,8.0,5.849981180038925e-09,2.871488960880943e-09,0.00015024736433371115,7.374957881195064e-05,49.085439294726704,very high
P3,P3_x0_h85,0.0,85.0,53.25,0.0,44.0,gamma_dose_P3_x0_h85,8.0,1.4387272212875127e-06,1.442354884766407e-07,0.03695139631067573,0.0037044567016635143,10.025214393842132,high
P3,P3_x5_h85,5.0,85.0,58.25,0.0,44.0,gamma_dose_P3_x5_h85,8.0,1.2019910449039335e-06,1.0968704981013851e-07,0.030871208110166564,0.002817135581862529,9.12544650604323,moderate
P3,P3_x57_h85,57.0,85.0,110.25,0.0,44.0,gamma_dose_P3_x57_h85,8.0,2.6133900415943936e-07,5.99045681731484e-08,0.006712072289485772,0.0015385525530023632,22.922168991124433,high
P3,P3_x100_h85,100.0,85.0,153.25,0.0,44.0,gamma_dose_P3_x100_h85,8.0,1.4970759164399566e-07,2.5198365913432676e-08,0.0038449988765789844,0.0006471795288723469,16.83172218370484,high
P3,P3_x114_h85,114.0,85.0,167.25,0.0,44.0,gamma_dose_P3_x114_h85,8.0,2.0132003476473332e-07,5.260263547686542e-08,0.005170581524976977,0.0013510141475965244,26.128862702779642,very high
P3,P3_x176_h85,176.0,85.0,229.25,0.0,44.0,gamma_dose_P3_x176_h85,8.0,8.560279286765811e-08,3.555606069279417e-08,0.002198570151277762,0.0009132002720641649,41.536098883787375,very high
P3,P3_x200_h85,200.0,85.0,253.25,0.0,44.0,gamma_dose_P3_x200_h85,8.0,1.1369000770054948e-07,4.373269458592926e-08,0.0029199451215966518,0.0011232039718636,38.46661238788701,very high
P3,P3_x225_h85,225.0,85.0,278.25,0.0,44.0,gamma_dose_P3_x225_h85,8.0,5.6727645823812134e-08,2.7650456713206442e-08,0.001456958408510182,0.0007101575399863073,48.74247170257121,very high
P3,P3_x300_h85,300.0,85.0,353.25,0.0,44.0,gamma_dose_P3_x300_h85,8.0,2.6077215978414955e-08,1.153429569371298e-08,0.0006697513802756739,0.0002962398466065695,44.2313155793177,very high
P3,P3_x400_h85,400.0,85.0,453.25,0.0,44.0,gamma_dose_P3_x400_h85,8.0,1.4559025443376125e-08,8.50561625398722e-09,0.0003739251687849273,0.00021845308298702084,58.42160443408659,very high
P4,P4_x0_h42,0.0,42.0,50.10139789775538,41.10139789775538,1.0,gamma_dose_P4_x0_h42,8.0,2.2592152292367698e-07,2.4618994242803948e-08,0.005802431208046161,0.0006322992986968019,10.897144249120958,high
P4,P4_x20_h42,20.0,42.0,64.24353352148633,55.243533521486334,1.0,gamma_dose_P4_x20_h42,8.0,2.014614531311668e-07,3.0065760878582703e-08,0.0051742136284267295,0.000772190745520415,14.923828063032781,high
P4,P4_x71_h42,71.0,42.0,100.30597936200024,91.30597936200024,1.0,gamma_dose_P4_x71_h42,8.0,9.873965668346328e-08,1.8339729463366684e-08,0.002535969384401875,0.00047102647507078245,18.573823405280468,high
P4,P4_x85_h45,85.0,45.0,110.20547429861192,101.20547429861192,4.0,gamma_dose_P4_x85_h45,8.0,9.512338473317306e-08,1.7159514642117605e-08,0.002443091251545827,0.00044071455426575236,18.039217896052687,high
P4,P4_x152_h113,152.0,113.0,157.5816286381106,148.5816286381106,72.0,gamma_dose_P4_x152_h113,8.0,4.609311592062646e-08,1.7944412574884726e-08,0.0011838276001011451,0.00046087339615598447,38.93078655343125,very high
P5,P5_x0_h45,0.0,45.0,0.0,44.25,4.0,gamma_dose_P5_x0_h45,8.0,3.68934093089736e-06,3.2762167312648653e-07,0.09475479218415543,0.008414436110293215,8.880222220254362,moderate
P5,P5_x6_h45,6.0,45.0,0.0,50.25,4.0,gamma_dose_P5_x6_h45,8.0,3.2601176836802414e-06,3.510229648983731e-07,0.08373088294062178,0.009015460678154596,10.767186922593377,high
P5,P5_x0_h85,0.0,85.0,0.0,44.25,44.0,gamma_dose_P5_x0_h85,8.0,3.899946863293178e-06,2.524767252757709e-07,0.10016386706519717,0.006484458900094896,6.473850391453166,moderate
P5,P5_x6_h85,6.0,85.0,0.0,50.25,44.0,gamma_dose_P5_x6_h85,8.0,3.0868745432315662e-06,1.871448788451848e-07,0.0792814113200763,0.004806515427944269,6.062600738197409,moderate
