tally_name,mean_per_source,std_dev_per_source,relative_error,relative_error_percent,target_reached
gamma_dose_P1_x0_h42,0.0002988766879612861,2.0676552761633357e-05,0.0691808815959297,6.918088159592969,True
gamma_dose_P1_x4_h42,0.00024114279488780783,1.8066399988626062e-05,0.07491992450793104,7.491992450793104,True
gamma_dose_P1_x57_h42,5.1291234624608615e-05,7.4397992386124644e-06,0.1450501102783551,14.50501102783551,True
gamma_dose_P1_x114_h42,2.4493053077826603e-05,5.446911239837257e-06,0.2223859648092752,22.23859648092752,True
gamma_dose_P1_x176_h42,6.125119273583328e-06,2.3472497918173568e-06,0.38321699333116244,38.32169933311624,True
gamma_dose_P1_x199_h42,3.146147208095781e-06,1.4924431479541735e-06,0.47437168359883614,47.437168359883614,True
gamma_dose_P1_x320_h42,2.5610395381324554e-06,1.6827155232778936e-06,0.6570439457193825,65.70439457193825,True
gamma_dose_P1_x420_h42,2.3257803970926927e-06,1.4712648267386024e-06,0.6325897443188253,63.25897443188253,True
gamma_dose_P1_x0_h85,3.568027372063225e-05,5.146025678584445e-06,0.14422607065395734,14.422607065395734,True
gamma_dose_P1_x4_h85,4.0652046044787276e-05,5.953975041095592e-06,0.1464618788076734,14.64618788076734,True
gamma_dose_P1_x7_h85,4.3355518445233705e-05,5.690407193741194e-06,0.13124989384982824,13.124989384982824,True
gamma_dose_P1_x57_h85,2.5931755555071148e-05,4.5637868322479815e-06,0.1759922047142504,17.59922047142504,True
gamma_dose_P1_x114_h85,1.8996757629004247e-05,4.1326216003223685e-06,0.21754352405974178,21.754352405974178,True
gamma_dose_P1_x176_h85,6.893582020029224e-06,2.4737648475548667e-06,0.35885042643539616,35.88504264353961,True
gamma_dose_P1_x199_h85,7.725202480298795e-06,3.0169927256541177e-06,0.39053898371572865,39.05389837157286,True
gamma_dose_P1_x320_h85,2.87926973513761e-06,1.8329504752582988e-06,0.636602556853082,63.6602556853082,True
gamma_dose_P1_x420_h85,3.0857556730915158e-06,1.831726508005439e-06,0.5936071102383467,59.36071102383467,True
gamma_dose_P2_x2_h55,5.48223252466947e-06,7.603678340365106e-07,0.13869675002199108,13.869675002199108,True
gamma_dose_P2_x57_h55,2.283566116160828e-06,6.58648124297678e-07,0.2884296275182997,28.84296275182997,True
gamma_dose_P2_x114_h55,1.0830660605930609e-06,3.0533664229601986e-07,0.28191876138083843,28.191876138083842,True
gamma_dose_P2_x176_h55,9.594645921789029e-07,5.210493303176595e-07,0.5430625940394307,54.306259403943066,True
gamma_dose_P2_x199_h55,3.261236184916448e-07,7.972204941818952e-08,0.24445346763571488,24.44534676357149,True
gamma_dose_P2_x321_h55,2.1094525722661071e-07,9.056656385445054e-08,0.4293368101524,42.93368101524,True
gamma_dose_P2_x420_h55,6.120555733571598e-08,4.148886870589161e-08,0.6778611373199788,67.78611373199787,True
gamma_dose_P2_x0_h85,4.8321708089419354e-06,5.129639969686607e-07,0.10615601501905116,10.615601501905116,True
gamma_dose_P2_x5_h85,3.7255793805483294e-06,4.745341296548395e-07,0.12737190143697802,12.737190143697802,True
gamma_dose_P2_x30_h85,4.469635369732696e-06,9.452556761345043e-07,0.21148384553593572,21.148384553593573,True
gamma_dose_P2_x57_h85,1.9565018068335992e-06,4.645097654599412e-07,0.23741852107548184,23.741852107548183,True
gamma_dose_P2_x114_h85,1.3825065007967708e-06,7.164012923877459e-07,0.5181901799194919,51.81901799194919,True
gamma_dose_P2_x156_h85,9.577158546593314e-07,3.240786631306459e-07,0.338387071232024,33.8387071232024,True
gamma_dose_P2_x176_h85,1.7359895495689436e-06,8.420515555885985e-07,0.48505565934868955,48.505565934868955,True
gamma_dose_P2_x199_h85,6.260710920470985e-07,2.7930036047144276e-07,0.446116046594963,44.6116046594963,True
gamma_dose_P2_x300_h85,1.1498809538723143e-07,4.737685090464377e-08,0.41201526771183145,41.20152677118315,True
