scenario,particle,side,energy_group,leakage_rate_per_s,leakage_std_per_s,source_strength_per_s,share_of_particle_leakage_percent
full_geometry,neutron,x_max,epithermal_intermediate,80736.39999959998,182.5943677712503,12000000.0,1.6992115761710769
full_geometry,neutron,x_max,fast,294157.9999910616,346.3855056678544,12000000.0,6.190970600752818
full_geometry,neutron,x_max,thermal,318.00000000000045,11.43679446167187,12000000.0,0.006692759167179617
full_geometry,neutron,x_min,epithermal_intermediate,217362.7999856203,312.1857593482704,12000000.0,4.5747071453068795
full_geometry,neutron,x_min,fast,821232.7999928799,588.5888735407815,12000000.0,17.28400424698404
full_geometry,neutron,x_min,thermal,937.6000000000013,20.93245707501447,12000000.0,0.019733116336942167
full_geometry,neutron,y_max,epithermal_intermediate,218208.3999846163,314.75110264258126,12000000.0,4.5925039916749535
full_geometry,neutron,y_max,fast,805521.1999692312,584.7218515254552,12000000.0,16.953331432237704
full_geometry,neutron,y_max,thermal,931.6000000000013,21.307382488118577,12000000.0,0.01960683786208972
full_geometry,neutron,y_min,epithermal_intermediate,95660.4,198.07854933254924,12000000.0,2.0133082359624783
full_geometry,neutron,y_min,fast,379075.59999608004,391.88986170506354,12000000.0,7.978181436880109
full_geometry,neutron,y_min,thermal,470.0000000000008,13.871401729932597,12000000.0,0.009891813863441574
full_geometry,neutron,z_max,epithermal_intermediate,179007.59998678032,281.8423806279905,12000000.0,3.7674677855545418
full_geometry,neutron,z_max,fast,678721.9999761924,530.6914777052561,12000000.0,14.284663167632512
full_geometry,neutron,z_max,thermal,886.4000000000011,19.730166367340704,12000000.0,0.018655540018201296
full_geometry,neutron,z_min,epithermal_intermediate,213131.59999691413,309.6123812814081,12000000.0,4.48565556507863
full_geometry,neutron,z_min,fast,764252.7999910042,570.0340057471142,12000000.0,16.084779664095837
full_geometry,neutron,z_min,thermal,790.4000000000015,19.403588951893553,12000000.0,0.016635084420562173
full_geometry,photon,x_max,high_energy,6414.263085326331,40.90137762510173,7825771.383943637,1.322617846331266
full_geometry,photon,x_max,intermediate,9826.299408725758,51.385007010044795,7825771.383943637,2.026178033000629
full_geometry,photon,x_max,low_energy,225.64307490370857,7.929299345450177,7825771.383943637,0.04652748940894496
full_geometry,photon,x_min,high_energy,73793.63298298878,138.77797599252486,7825771.383943637,15.216210284888083
full_geometry,photon,x_min,intermediate,50948.380299934404,116.44899767984265,7825771.383943637,10.50553058550408
full_geometry,photon,x_min,low_energy,905.4417491222787,17.311617080133377,7825771.383943637,0.18670163669184706
full_geometry,photon,y_max,high_energy,40378.110891641736,101.39845387331577,7825771.383943637,8.325946309966675
full_geometry,photon,y_max,intermediate,30887.27621624101,91.50962774792823,7825771.383943637,6.368940937520843
full_geometry,photon,y_max,low_energy,596.323779456505,13.836529314223608,7825771.383943637,0.1229616656518474
full_geometry,photon,y_min,high_energy,49388.18234502217,112.71432309935726,7825771.383943637,10.183818546018646
full_geometry,photon,y_min,intermediate,30448.5113006479,89.9259983235074,7825771.383943637,6.27846783094761
full_geometry,photon,y_min,low_energy,639.3655220681953,13.201100092930165,7825771.383943637,0.13183685149286006
full_geometry,photon,z_max,high_energy,69771.4473506879,136.4933402569702,7825771.383943637,14.38683761529673
full_geometry,photon,z_max,intermediate,46726.63749734294,111.46795157510768,7825771.383943637,9.635009327013483
full_geometry,photon,z_max,low_energy,893.7030920463632,16.903511627014865,7825771.383943637,0.18428113146247996
full_geometry,photon,z_min,high_energy,39583.79509617144,101.26958675953203,7825771.383943637,8.162158789446165
full_geometry,photon,z_min,intermediate,32930.845983634834,96.060170188717,7825771.383943637,6.790324003451103
full_geometry,photon,z_min,low_energy,609.3667317630777,14.225949670357034,7825771.383943637,0.1256511159066997
