scenario,particle,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,leakage_rate_per_s,leakage_std_per_s,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,relative_uncertainty_percent
full_geometry,neutron,0.001,0.0022046179206361,0.0014847955821041833,0.0012046179206361002,0.34333333333331656,0.0,0.0,0.0,0.0,
full_geometry,neutron,0.0022046179206361,0.0048603401759902,0.003273406948788313,0.0026557222553541,0.3433333333333486,0.0,0.0,0.0,0.0,
full_geometry,neutron,0.0048603401759902,0.010715193052376,0.007216611620833848,0.0058548528763858005,0.34333333333333227,4.4,1.3258429513983079,12.815533980582565,3.8616784992183844,30.132794349961543
full_geometry,neutron,0.010715193052376,0.0236229066263446,0.015909871305561672,0.0129077135739686,0.3433333333333356,20.400000000000002,3.139051685613003,59.417475728154955,9.142868987222279,15.387508262808836
full_geometry,neutron,0.0236229066263446,0.0520794832859546,0.03507518739525678,0.028456576659610003,0.34333333333333343,136.00000000000003,8.190834260701875,396.1165048543689,23.85679881757827,6.022672250516083
full_geometry,neutron,0.0520794832859546,0.1148153621496884,0.07732738670125561,0.0627358788637338,0.34333333333333416,568.4000000000008,16.21522468872033,1655.5339805825226,47.22880977297172,2.85278407612954
full_geometry,neutron,0.1148153621496884,0.2531240049595366,0.17047734247755247,0.13830864280984817,0.34333333333333327,1320.8000000000025,24.72823795801796,3846.9902912621437,72.02399405247951,1.8722166836779162
full_geometry,neutron,0.2531240049595366,0.5580417174769969,0.3758374042884445,0.30491771251746036,0.3433333333333333,3400.8000000000025,39.63234380635698,9905.242718446609,115.43401108647664,1.1653829630191999
full_geometry,neutron,0.5580417174769969,1.2302687708123825,0.8285778767396917,0.6722270533353856,0.3433333333333333,6918.399999999991,55.834336901744784,20150.679611650463,162.6242822380916,0.8070411786214277
full_geometry,neutron,1.2302687708123825,2.712272579332029,1.8266976357030043,1.4820038085196465,0.34333333333333316,11268.799999999988,71.06970905491669,32821.74757281552,206.99915258713608,0.6306768161198775
full_geometry,neutron,2.712272579332029,5.979524734045527,4.027170343254594,3.267252154713498,0.34333333333333377,15231.99999999999,82.09597450606407,44365.04854368924,239.11448885261348,0.5389704208643915
full_geometry,neutron,5.979524734045527,13.1825673855641,8.878371908193666,7.203042651518573,0.3433333333333337,18889.999999999996,91.3196627385118,55019.417475728085,265.97960020925734,0.4834286010508831
full_geometry,neutron,13.1825673855641,29.06252429820869,19.57341781487664,15.87995691264459,0.3433333333333329,20999.2,98.36601093377399,61162.718446602026,286.5029444673033,0.46842742072923726
full_geometry,neutron,29.06252429820869,64.07176188675551,43.151907682776596,35.009237588546824,0.3433333333333337,22445.999999999996,101.21562400047715,65376.69902912613,294.802788350904,0.45092944845619337
full_geometry,neutron,64.07176188675551,141.25375446227554,95.13346898708754,77.18199257552003,0.3433333333333327,23462.799999999996,102.44421338556516,68338.25242718458,298.3812040356272,0.4366239894026509
full_geometry,neutron,141.25375446227554,311.41055844467644,209.7329505812199,170.1568039824009,0.3433333333333337,24982.3999960028,103.61897270115799,72764.27183301779,301.80283311016854,0.4147678874637228
full_geometry,neutron,311.41055844467644,686.5412978224565,462.3810213992613,375.13073937778006,0.34333333333333377,28410.800000000003,112.39911448252077,82749.90291262127,327.37606159957465,0.39562108241415506
full_geometry,neutron,686.5412978224565,1513.5612484362102,1019.3734859388748,827.0199506137537,0.3433333333333328,36678.00000000001,130.3067171527126,106829.12621359242,379.5341276292605,0.355272144480922
full_geometry,neutron,1513.5612484362102,3336.8242522829496,2247.3290549222215,1823.2630038467394,0.34333333333333377,54778.80000000002,157.32528388607156,159549.9029126212,458.22898219244087,0.2872010410707637
full_geometry,neutron,3336.8242522829496,7356.422544596421,4954.501908047911,4019.5982923134716,0.3433333333333328,53971.600000000006,150.15175734607374,157198.83495145655,437.3352155710892,0.27820512518819845
full_geometry,neutron,7356.422544596421,16218.100973589331,10922.783694308595,8861.67842899291,0.3433333333333337,71587.99999939595,185.17324364681707,208508.73786231808,539.3395446023792,0.25866520038048213
full_geometry,neutron,16218.100973589331,35754.71604506223,24080.564675705467,19536.6150714729,0.3433333333333337,276923.1999988,342.58284118918965,806572.42718097,997.8141005510367,0.1237104154475588
full_geometry,neutron,35754.71604506223,78825.48774020227,53088.444423098954,43070.771695140036,0.3433333333333329,229515.5999927225,320.8952302651305,668492.0388137557,934.6463017430998,0.1398141260442887
full_geometry,neutron,78825.48774020227,173780.08287493835,117039.73595386221,94954.59513473608,0.34333333333333454,565966.3999399649,504.6028507776671,1648445.825067853,1469.717041099996,0.08915773989961118
