scenario,particle,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,leakage_rate_per_s,leakage_std_per_s,source_strength_per_s,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,fraction_of_particle_leakage
full_geometry,neutron,0.001,0.0012185218841302,0.0011038667873118568,0.0002185218841302,0.08583333333333343,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.0012185218841302,0.0014847955821042124,0.0013450858375039943,0.0002662736979740124,0.08583333333333343,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.0014847955821042124,0.001809255910253822,0.0016390165290322153,0.00032446032814960964,0.08583333333333343,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.001809255910253822,0.0022046179206361848,0.0019971775090768746,0.00039536201038236274,0.08583333333333298,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.0022046179206361848,0.0026863751824408076,0.002433604501302811,0.0004817572618046229,0.08583333333333343,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.0026863751824408076,0.003273406948788383,0.0029654003421552377,0.0005870317663475753,0.08583333333333343,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.003273406948788383,0.0039887180027625094,0.00361340521212334,0.0007153110539741265,0.08583333333333343,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.0039887180027625094,0.004860340175990216,0.004403013327202414,0.0008716221732277063,0.08583333333333298,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.004860340175990216,0.005922430868761305,0.005365168095313064,0.0010620906927710895,0.08583333333333343,2.0,0.893828711715107,12000000.0,23.300970873786383,10.413538388913857,4.209282495081514e-07
full_geometry,neutron,0.005922430868761305,0.007216611620833884,0.006537574736176111,0.0012941807520725785,0.08583333333333343,0.0,0.0,12000000.0,0.0,0.0,0.0
full_geometry,neutron,0.007216611620833884,0.0087935991892544,0.00796617788516731,0.0015769875684205157,0.08583333333333343,1.2000000000000002,0.6920475170725546,12000000.0,13.980582524271831,8.06268951929189,2.525569497048909e-07
full_geometry,neutron,0.0087935991892544,0.01071519305237607,0.009706962085950403,0.0019215938631216706,0.08583333333333343,1.2000000000000002,0.692820323027551,12000000.0,13.980582524271831,8.07169308381612,2.525569497048909e-07
full_geometry,neutron,0.01071519305237607,0.01305669722700011,0.011828145730152697,0.0023415041746240404,0.0858333333333332,3.2,1.198214948807246,12000000.0,37.28155339805831,13.959785811346576,6.734851992130423e-07
full_geometry,neutron,0.01305669722700011,0.01590987130556173,0.01441285442087224,0.0028531740785616207,0.08583333333333343,5.200000000000001,1.546081463887524,12000000.0,60.582524271844605,18.012599579272106,1.0944134487211938e-06
full_geometry,neutron,0.01590987130556173,0.019386526359522076,0.01756237852461552,0.0034766550539603452,0.0858333333333332,5.6000000000000005,1.5949753879901456,12000000.0,65.24271844660204,18.582237529982308,1.1785990986228241e-06
full_geometry,neutron,0.019386526359522076,0.023622906626344628,0.02140014256962226,0.0042363802668225516,0.08583333333333343,6.4,1.8664436879085802,12000000.0,74.56310679611643,21.744975004760132,1.3469703984260846e-06
full_geometry,neutron,0.023622906626344628,0.02878502869096524,0.026076542044591016,0.005162122064620613,0.08583333333333343,15.200000000000001,2.690152983925464,12000000.0,177.0873786407765,31.34158816223838,3.199054696261951e-06
full_geometry,neutron,0.02878502869096524,0.035075187395256814,0.031774837143775415,0.0062901587042915735,0.0858333333333332,23.6,3.6044565503569848,12000000.0,274.95145631068004,41.99366854784843,4.9669533441961874e-06
full_geometry,neutron,0.035075187395256814,0.04273988343108817,0.038718334424363475,0.007664696035831357,0.08583333333333343,39.2,4.402614000050972,12000000.0,456.69902912621313,51.29259029185593,8.250193690359769e-06
full_geometry,neutron,0.04273988343108817,0.05207948328595465,0.04717913781315854,0.00933959985486648,0.0858333333333332,58.00000000000002,5.2419200444596985,12000000.0,675.7281553398071,61.07091313933638,1.2206919235736396e-05
full_geometry,neutron,0.05207948328595465,0.06345999009812872,0.0574888118997283,0.01138050681217407,0.08583333333333343,93.20000000000007,6.580441273794604,12000000.0,1085.8252427184464,76.66533522867492,1.961525642707987e-05
full_geometry,neutron,0.06345999009812872,0.07732738670125563,0.07005137539246359,0.013867396603126914,0.08583333333333343,119.20000000000013,7.505235630738696,12000000.0,1388.7378640776699,87.43963841637306,2.5087323670685854e-05
full_geometry,neutron,0.07732738670125563,0.09422511293807855,0.08535913392913663,0.01689772623682291,0.0858333333333332,166.00000000000026,8.617102074394557,12000000.0,1933.9805825242777,100.39342222595616,3.493704470917662e-05
full_geometry,neutron,0.09422511293807855,0.1148153621496884,0.10401197270305365,0.02059024921160986,0.08583333333333365,190.00000000000028,9.43654037846398,12000000.0,2213.5922330097037,109.94027625394887,3.9988183703274446e-05
full_geometry,neutron,0.1148153621496884,0.13990503141372942,0.12674086495022382,0.02508966926404102,0.08583333333333298,202.80000000000032,9.777867301370506,12000000.0,2362.7184466019553,113.9169005984918,4.268212450012662e-05
full_geometry,neutron,0.13990503141372942,0.1704773424775524,0.15443651755543789,0.030572311063822966,0.08583333333333343,294.8000000000005,11.948854215231524,12000000.0,3434.563106796119,139.2099520221147,6.204482397750163e-05
full_geometry,neutron,0.1704773424775524,0.20773037255725652,0.18818427635015889,0.037253030079704125,0.08583333333333343,382.4000000000007,13.2972801302701,12000000.0,4455.145631067965,154.919768508001,8.04814813059587e-05
full_geometry,neutron,0.20773037255725652,0.2531240049595366,0.22930665898187383,0.04539363240228006,0.08583333333333343,440.80000000000086,14.01022082714679,12000000.0,5135.533980582529,163.22587371433136,9.277258619159675e-05
full_geometry,neutron,0.2531240049595366,0.3084371394418766,0.27941518214619415,0.05531313448234004,0.08583333333333343,622.8000000000013,16.437773612560527,12000000.0,7255.922330097094,191.50804208808358,0.00013107705689683862
full_geometry,neutron,0.3084371394418766,0.3758374042884443,0.3404735142033633,0.06740026484656769,0.08583333333333298,752.0000000000016,18.506424808625855,12000000.0,8761.165048543744,215.6088327218555,0.00015826902181506527
full_geometry,neutron,0.3758374042884443,0.45796610200015886,0.41487442802351243,0.08212869771171455,0.08583333333333343,909.2000000000003,20.380343339817145,12000000.0,10592.621359223293,237.4408932794228,0.0001913539822264057
full_geometry,neutron,0.45796610200015886,0.5580417174769969,0.5055335697126495,0.10007561547683808,0.08583333333333343,1116.7999999999993,23.295409856908275,12000000.0,13011.262135922307,271.40283328436794,0.0002350463345253516
full_geometry,neutron,0.5580417174769969,0.679986045003323,0.6160037178573234,0.12194432752632611,0.08583333333333343,1367.1999999999985,25.534657410997156,12000000.0,15928.543689320353,297.4911543028792,0.000287746551363772
full_geometry,neutron,0.679986045003323,0.8285778767396922,0.7506140109147139,0.14859183173636914,0.08583333333333344,1602.3999999999987,26.406161235033213,12000000.0,18668.73786407763,307.64459691300794,0.00033724771350593065
full_geometry,neutron,0.8285778767396922,1.0096402755134493,0.9146395988343231,0.18106239877375707,0.08583333333333297,1837.5999999999972,29.76621505210958,12000000.0,21408.93203883501,346.7908549760354,0.00038674887564808894
full_geometry,neutron,1.0096402755134493,1.2302687708123823,1.1145083672716891,0.22062849529893303,0.08583333333333339,2111.199999999997,29.700867638194378,12000000.0,24596.504854368883,346.02952588187605,0.00044433186018080404
full_geometry,neutron,1.2302687708123823,1.4991094205968494,1.3580528355667716,0.2688406497844671,0.08583333333333347,2353.9999999999977,31.67906792318247,12000000.0,27425.24271844653,369.0765194933874,0.0004954325496710938
full_geometry,neutron,1.4991094205968494,1.8266976357030054,1.6548170999431833,0.327588215106156,0.08583333333333343,2782.3999999999965,36.6462543770332,12000000.0,32416.31067961157,426.9466529363087,0.0005855953807157395
full_geometry,neutron,1.8266976357030054,2.2258710447930077,2.016430850513641,0.3991734090900023,0.08583333333333343,2976.3999999999974,36.20555954278319,12000000.0,34676.50485436886,421.8123441877649,0.0006264254209180304
full_geometry,neutron,2.2258710447930077,2.7122725793320295,2.457065119186142,0.4864015345390218,0.08583333333333298,3155.9999999999973,37.33027858182488,12000000.0,36768.93203883507,434.9158669727188,0.0006642247777238624
