scenario,particle,side,leakage_rate_per_s,leakage_std_per_s,source_strength_per_s,escaped_fraction_of_source,share_of_particle_leakage_percent
full_geometry,neutron,x_max,375212.39999066154,391.732589844292,12000000.0,0.03126769999922179,7.896874936091074
full_geometry,neutron,x_min,1039533.1999785001,666.5845618937327,12000000.0,0.08662776666487501,21.878444508627858
full_geometry,neutron,y_max,1024661.1999538474,664.3958946400649,12000000.0,0.08538843332948728,21.565442261774745
full_geometry,neutron,y_min,475205.99999608,439.3235609421081,12000000.0,0.039600499999673335,10.001381486706029
full_geometry,neutron,z_max,858615.9999629727,601.2136487904481,12000000.0,0.07155133333024773,18.070786493205254
full_geometry,neutron,z_min,978174.7999879183,648.9800409989964,12000000.0,0.08151456666565986,20.587070313595028
full_geometry,photon,x_max,16466.205568955796,66.1529698892142,7825771.383943637,0.002104099999999999,3.39532336874084
full_geometry,photon,x_min,125647.45503204546,181.98732858952286,7825771.383943637,0.0160556,25.908442507084008
full_geometry,photon,y_max,71861.71088733926,137.28476959199338,7825771.383943637,0.009182700000000004,14.817848913139365
full_geometry,photon,y_min,80476.05916773826,144.7945884689387,7825771.383943637,0.010283466666666668,16.594123228459114
full_geometry,photon,z_max,117391.78794007722,177.0346431300389,7825771.383943637,0.01500066666666667,24.2061280737727
full_geometry,photon,z_min,73124.00781156935,140.3048935110789,7825771.383943637,0.009344,15.078133908803968
