scenario,particle,side,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,leakage_rate_per_s,leakage_std_per_s,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,relative_uncertainty_percent
full_geometry,neutron,x_max,0.001,0.0022046179206361,0.0014847955821041833,0.0012046179206361002,0.34333333333331656,0.0,0.0,0.0,0.0,
full_geometry,neutron,x_max,0.0022046179206361,0.0048603401759902,0.003273406948788313,0.0026557222553541,0.3433333333333486,0.0,0.0,0.0,0.0,
full_geometry,neutron,x_max,0.0048603401759902,0.010715193052376,0.007216611620833848,0.0058548528763858005,0.34333333333333227,0.0,0.0,0.0,0.0,
full_geometry,neutron,x_max,0.010715193052376,0.0236229066263446,0.015909871305561672,0.0129077135739686,0.3433333333333356,0.8,0.5656854249492381,2.3300970873786255,1.6476274513084497,70.71067811865476
full_geometry,neutron,x_max,0.0236229066263446,0.0520794832859546,0.03507518739525678,0.028456576659610003,0.34333333333333343,8.0,2.0296135355478224,23.3009708737864,5.911495734605306,25.37016919434778
full_geometry,neutron,x_max,0.0520794832859546,0.1148153621496884,0.07732738670125561,0.0627358788637338,0.34333333333333416,46.800000000000026,4.279405453657003,136.31067961165024,12.464287729098038,9.144028747130344
full_geometry,neutron,x_max,0.1148153621496884,0.2531240049595366,0.17047734247755247,0.13830864280984817,0.34333333333333327,93.60000000000012,6.288493500169354,272.6213592233014,18.31600048593016,6.7184759617193865
full_geometry,neutron,x_max,0.2531240049595366,0.5580417174769969,0.3758374042884445,0.30491771251746036,0.3433333333333333,255.2000000000005,10.17723868694106,743.3009708737878,29.642442777498232,3.9879461939424137
full_geometry,neutron,x_max,0.5580417174769969,1.2302687708123825,0.8285778767396917,0.6722270533353856,0.3433333333333333,540.4000000000009,15.23145838108467,1573.9805825242745,44.36347101286797,2.8185526241829466
full_geometry,neutron,x_max,1.2302687708123825,2.712272579332029,1.8266976357030043,1.4820038085196465,0.34333333333333316,858.7999999999993,17.89741110928384,2501.35922330097,52.12838187170053,2.084002225114562
full_geometry,neutron,x_max,2.712272579332029,5.979524734045527,4.027170343254594,3.267252154713498,0.34333333333333377,1215.1999999999975,22.44272084805115,3539.417475728144,65.36714810111977,1.8468335128416058
full_geometry,neutron,x_max,5.979524734045527,13.1825673855641,8.878371908193666,7.203042651518573,0.3433333333333337,1448.799999999997,25.243864779983767,4219.805825242705,73.52581974752545,1.7423981764207497
full_geometry,neutron,x_max,13.1825673855641,29.06252429820869,19.57341781487664,15.87995691264459,0.3433333333333329,1654.3999999999974,26.086042347415923,4818.640776699028,75.97876411868725,1.576767550013054
full_geometry,neutron,x_max,29.06252429820869,64.07176188675551,43.151907682776596,35.009237588546824,0.3433333333333337,1769.1999999999973,27.74875332401073,5153.009708737851,80.82161162333213,1.5684350737062382
full_geometry,neutron,x_max,64.07176188675551,141.25375446227554,95.13346898708754,77.18199257552003,0.3433333333333327,1792.7999999999965,28.49359489135733,5221.747572815533,82.99105308162343,1.589334833297489
full_geometry,neutron,x_max,141.25375446227554,311.41055844467644,209.7329505812199,170.1568039824009,0.3433333333333337,1949.5999999999967,29.332315782492955,5678.446601941731,85.43392946357162,1.5045299437060424
full_geometry,neutron,x_max,311.41055844467644,686.5412978224565,462.3810213992613,375.13073937778006,0.34333333333333377,2243.5999999999967,29.997342134213493,6534.75728155338,87.3708994200392,1.337018280184237
full_geometry,neutron,x_max,686.5412978224565,1513.5612484362102,1019.3734859388748,827.0199506137537,0.3433333333333328,2939.999999999999,35.52044773588665,8563.106796116515,103.45761476471854,1.2081784944179135
full_geometry,neutron,x_max,1513.5612484362102,3336.8242522829496,2247.3290549222215,1823.2630038467394,0.34333333333333377,4386.799999999999,41.0906624649203,12777.08737864076,119.68154115996188,0.9366887586605339
full_geometry,neutron,x_max,3336.8242522829496,7356.422544596421,4954.501908047911,4019.5982923134716,0.3433333333333328,4150.799999999999,41.100623728880336,12089.708737864094,119.71055455013708,0.990185596243624
full_geometry,neutron,x_max,7356.422544596421,16218.100973589331,10922.783694308595,8861.67842899291,0.3433333333333337,6031.600000000001,52.840437540437435,17567.766990291246,153.90418701098264,0.876060042781972
full_geometry,neutron,x_max,16218.100973589331,35754.71604506223,24080.564675705467,19536.6150714729,0.3433333333333337,22186.799999599996,95.28474066706637,64621.747571650405,277.52837087495027,0.42946590165677007
full_geometry,neutron,x_max,35754.71604506223,78825.48774020227,53088.444423098954,43070.771695140036,0.3433333333333329,18940.40000000001,87.72951742386692,55166.21359223311,255.52286628310787,0.4631872474914304
full_geometry,neutron,x_max,78825.48774020227,173780.08287493835,117039.73595386221,94954.59513473608,0.34333333333333454,46113.20000000001,139.27757612301315,134310.2912621355,405.6628430767359,0.30203407294009765
full_geometry,neutron,x_max,173780.08287493835,383118.6849557293,258027.89931041183,209338.60208079094,0.34333333333333194,91697.19999549355,193.06884350149465,267079.22328784637,562.3364373829965,0.21055042412525468
full_geometry,neutron,x_max,383118.6849557293,844630.3185839704,568852.9308438424,461511.63362824114,0.3433333333333337,87585.59999883999,187.54900720965685,255103.68931700938,546.2592442999708,0.21413224001678452
full_geometry,neutron,x_max,844630.3185839704,1862087.1366628727,1254103.3655447527,1017456.8180789023,0.3433333333333336,51201.59999672801,146.91816483096633,149130.8737768776,427.9169849445618,0.2869405738108868
full_geometry,neutron,x_max,1862087.1366628727,4105190.671273096,2764818.754010117,2243103.534610223,0.3433333333333339,16527.199999999993,79.66354667535735,48137.475728155245,232.02974759812784,0.4820147797289159
full_geometry,neutron,x_max,4105190.671273096,9050376.921517164,6095368.972401719,4945186.250244068,0.3433333333333336,8712.000000000002,56.97960205342982,25374.757281553382,165.96000598086343,0.6540358362423073
full_geometry,neutron,x_max,9050376.921517164,19952623.149688788,13437959.669446567,10902246.228171624,0.34333333333333116,862.000000000001,18.41731045551193,2510.6796116505043,53.64265181217101,2.136578939154514
full_geometry,neutron,x_min,0.001,0.0022046179206361,0.0014847955821041833,0.0012046179206361002,0.34333333333331656,0.0,0.0,0.0,0.0,
full_geometry,neutron,x_min,0.0022046179206361,0.0048603401759902,0.003273406948788313,0.0026557222553541,0.3433333333333486,0.0,0.0,0.0,0.0,
full_geometry,neutron,x_min,0.0048603401759902,0.010715193052376,0.007216611620833848,0.0058548528763858005,0.34333333333333227,1.2000000000000002,0.6920475170725546,3.4951456310679725,2.015672379822981,57.67062642271288
full_geometry,neutron,x_min,0.010715193052376,0.0236229066263446,0.015909871305561672,0.0129077135739686,0.3433333333333356,4.800000000000001,1.4884168150705017,13.980582524271755,4.335194607001433,31.008683647302114
full_geometry,neutron,x_min,0.0236229066263446,0.0520794832859546,0.03507518739525678,0.028456576659610003,0.34333333333333343,29.200000000000003,3.6985398908778477,85.04854368932037,10.772446284110233,12.666232503006327
full_geometry,neutron,x_min,0.0520794832859546,0.1148153621496884,0.07732738670125561,0.0627358788637338,0.34333333333333416,113.20000000000016,7.459859135919333,329.70873786407736,21.727745056075676,6.589981568833324
full_geometry,neutron,x_min,0.1148153621496884,0.2531240049595366,0.17047734247755247,0.13830864280984817,0.34333333333333327,285.2000000000006,11.528275548569509,830.6796116504873,33.577501597775274,4.042172352233339
full_geometry,neutron,x_min,0.2531240049595366,0.5580417174769969,0.3758374042884445,0.30491771251746036,0.3433333333333333,748.8000000000001,18.880082761566797,2180.970873786408,54.9905323152431,2.5213785739271892
full_geometry,neutron,x_min,0.5580417174769969,1.2302687708123825,0.8285778767396917,0.6722270533353856,0.3433333333333333,1479.9999999999977,25.77214279957353,4310.679611650479,75.06449359099086,1.7413609999711872
