position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,mica_x_cm,mica_y_cm,mica_z_cm,axis_x,axis_y,axis_z,tally_name,transport_group,statepoint_file,detector_model,detector_shape,tally_implementation,detector_effective_diameter_cm,detector_effective_length_cm,detector_volume_cm3,reference_offset_cm,gamma_flux_per_source [photon/cm2/source photon],u_mc_per_source [photon/cm2/source photon],gamma_flux_physical [photon/cm2/s],u_mc_physical [photon/cm2/s],rel_u_mc [%],mc_uncertainty_class,result_origin
P1,P1_x7_h85,7.0,85.0,0.0,-42.405,44.0,0.0,-40.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x7_h85,2,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_2/statepoint.800.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,3.06595832064451e-06,9.258798785756428e-08,21.873392155595873,0.6605482382683933,3.0198710541538256,low,original gamma scan
P1,P1_x57_h85,57.0,85.0,0.0,-92.405,44.0,0.0,-90.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x57_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.5409916033093996e-06,4.3744677719495993e-07,10.993859055651246,3.1208659427488574,28.387356313656014,very high,original gamma scan
P1,P1_x114_h85,114.0,85.0,0.0,-149.405,44.0,0.0,-147.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x114_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,8.990887298284631e-07,3.514895535210258e-07,6.414346939354496,2.5076234047253823,39.09397836497032,very high,original gamma scan
P1,P1_x176_h85,176.0,85.0,0.0,-211.405,44.0,0.0,-209.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x176_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.552323382998398e-07,1.8957902910523705e-07,1.8208978865859213,1.3525090736472465,74.2770412119662,very high,original gamma scan
P1,P1_x199_h85,199.0,85.0,0.0,-234.405,44.0,0.0,-232.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x199_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,6.35417471797688e-08,6.35417471797688e-08,0.45332434722160186,0.45332434722160186,100.0,very high,original gamma scan
P1,P1_x320_h85,320.0,85.0,0.0,-355.405,44.0,0.0,-353.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x320_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,5.939742874241285e-07,4.193440913942857e-07,4.237576366151456,2.9917163900881265,70.59970444391513,very high,original gamma scan
P1,P1_x420_h85,420.0,85.0,0.0,-455.405,44.0,0.0,-453.5,44.0,0.0,-1.0,0.0,gamma_flux_lnd712_cell_P1_x420_h85,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,0.0,0.0,0.0,0.0,,unknown,original gamma scan
P2,P2_x2_h55,2.0,55.0,45.261251980533466,-36.261251980533466,14.0,43.91421356237309,-34.91421356237309,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x2_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.748741864687766e-07,1.9469531399937347e-07,1.961028248035033,1.3890100609945475,70.83070131123034,very high,original gamma scan
P2,P2_x57_h55,57.0,55.0,84.15212494579359,-75.15212494579359,14.0,82.80508652763322,-73.80508652763322,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x57_h55,1,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_group_1_ww_production/statepoint.200.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,1.501814008896619e-07,1.1178206927947524e-07,1.0714355293146252,0.7974841082640555,74.43136674534111,very high,original gamma scan
P2,P2_x114_h55,114.0,55.0,124.4572114734268,-115.4572114734268,14.0,123.11017305526643,-114.11017305526643,14.0,0.7071067811865476,-0.7071067811865476,0.0,gamma_flux_lnd712_cell_P2_x114_h55,3,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/H1_f1_sides_and_front_f2_hollow_transport_outputs/gamma/openmc_runs/hollow_gamma_scan_lnd712_cellfilter_targeted_P2_x114_h55/statepoint.0680.h5,GCA-07W-DL / LND 712 active cylinder,right circular cylinder,finite CSG cylinder with CellFilter,0.91,3.81,2.477979114806917,1.905,2.2376801784709756e-07,5.228528264052097e-08,1.5964227475933304,0.37301762501516034,23.365842511170612,high,targeted P2 uncertainty repair
