measurement_kind,position,distance_cm,height_cm,location_label,physical_point_id,duration_min,is_24h_measurement,replicate_label,is_short_measurement,is_long_measurement,file,file_name,input_format,source_column,original_rows,valid_rows,invalid_rows,valid_fraction,raw_numeric_mismatch_count,observed_duration_s,start_timestamp,end_timestamp,mean_mrem_h,median_mrem_h,std_mrem_h,sem_mrem_h,min_mrem_h,max_mrem_h,mean_uSv_h,median_uSv_h,std_uSv_h,sem_uSv_h,file_quality_status
scan,P1,114.0,42.0,,P1_x114_h42,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_114_y_42_10_min.csv,NF_P1_x_114_y_42_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.153,2026-02-20 19:32:19.779,2026-02-20 19:42:19.958,3.02828618968386,3.0,1.7226525741693508,0.0702684641717657,0.0,9.0,30.282861896838604,30.0,17.226525741693507,0.702684641717657,valid
scan,P1,176.0,42.0,,P1_x176_h42,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_176_y_42_10_min.csv,NF_P1_x_176_y_42_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.109,2026-03-03 15:18:47.421,2026-03-03 15:28:47.595,1.795341098169717,2.0,1.297322213301226,0.05291887687135638,0.0,7.0,17.95341098169717,20.0,12.97322213301226,0.5291887687135638,valid
scan,P1,199.0,42.0,,P1_x199_h42,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_199_y_42_10_min.csv,NF_P1_x_199_y_42_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.137,2026-02-20 20:15:01.472,2026-02-20 20:25:00.656,1.3966666666666667,1.0,1.2524389117244634,0.05113060446219332,0.0,7.0,13.966666666666667,10.0,12.524389117244635,0.5113060446219332,valid
scan,P1,320.0,42.0,,P1_x320_h42,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_320_y_42_10_min.csv,NF_P1_x_320_y_42_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.135,2026-03-03 15:00:11.879,2026-03-03 15:10:11.056,0.475,0.0,0.7119596038136135,0.02906562911362369,0.0,4.0,4.75,0.0,7.119596038136135,0.2906562911362369,valid
scan,P1,420.0,42.0,,P1_x420_h42,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_420_y_42_10_min.csv,NF_P1_x_420_y_42_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.0989999999999,2026-03-03 14:39:03.296,2026-03-03 14:49:02.469,0.215,0.0,0.47520314608605385,0.019400087201268085,0.0,3.0,2.15,0.0,4.752031460860539,0.19400087201268085,valid
scan,P1,0.0,85.0,,P1_x0_h85,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_0_y_85_10_min.csv,NF_P1_x_0_y_85_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.1379999999999,2026-03-16 16:09:18.568,2026-03-16 16:19:18.748,7.91846921797005,7.0,4.519772300990493,0.18436535768091972,1.0,23.0,79.1846921797005,70.0,45.19772300990493,1.843653576809197,valid
scan,P1,7.0,85.0,,P1_x7_h85,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_7_y_85_10_min.csv,NF_P1_x_7_y_85_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.0849999999999,2026-03-16 15:46:44.061,2026-03-16 15:56:44.235,7.6988352745424296,7.0,4.390992519672552,0.17911232083223827,0.0,22.0,76.9883527454243,70.0,43.90992519672552,1.7911232083223827,valid
scan,P1,57.0,85.0,,P1_x57_h85,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_57_y_85_10_min.csv,NF_P1_x_57_y_85_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.082,2026-03-16 16:55:25.499,2026-03-16 17:05:25.674,2.9633943427620633,3.0,1.7517584857987536,0.07145571907109063,0.0,8.0,29.633943427620633,30.0,17.517584857987536,0.7145571907109063,valid
scan,P1,114.0,85.0,,P1_x114_h85,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_114_y_85_10_min.csv,NF_P1_x_114_y_85_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,600,600,0,1.0,0,600.083,2026-03-16 17:10:38.881,2026-03-16 17:20:38.054,1.5133333333333334,1.0,1.2092391496683799,0.049366981561409146,0.0,7.0,15.133333333333335,10.0,12.092391496683799,0.49366981561409146,valid
scan,P1,176.0,85.0,,P1_x176_h85,10.0,False,,False,False,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/neutron_logs_P1/NF_P1_x_176_y_85_10_min.csv,NF_P1_x_176_y_85_10_min.csv,numerical_mrem_h_with_raw_check,mrem/h,601,601,0,1.0,0,601.0939999999999,2026-03-16 17:25:24.248,2026-03-16 17:35:24.432,0.740432612312812,1.0,0.8301681431300516,0.03386326488392692,0.0,6.0,7.40432612312812,10.0,8.301681431300516,0.33863264883926925,valid
