measurement_kind,position,physical_point_id,distance_cm,height_cm,location_label,number_of_files,total_valid_rows,total_nominal_duration_min,files,contains_24h_measurement,number_of_24h_files,minimum_valid_fraction,raw_numeric_mismatch_count,pooled_mean_uSv_h,pooled_std_uSv_h,pooled_sem_uSv_h,between_file_std_uSv_h,between_file_sem_uSv_h,effective_sem_uSv_h,maximum_pairwise_repeat_z,repeat_agreement_flag,is_repeated_measurement,unresolved_between_file_variation,uncertainty_source,gross_mean_uSv_h,gross_sem_uSv_h,gross_sem_effective_uSv_h,gross_uncertainty_uSv_h,background_mean_uSv_h,background_sem_uSv_h,net_mean_uSv_h,net_sem_uSv_h,net_sem_effective_uSv_h,net_uncertainty_uSv_h,net_mean_mrem_h,net_uncertainty_mrem_h,net_significance_sigma,above_background_2sigma,statistically_above_background_2sigma,statistically_above_background_2sigma_effective,requires_quality_review,final_quality_status,quality_review_reason,reference_x_cm,reference_y_cm,direction_x,direction_y,geometry_x_cm,geometry_y_cm,geometry_z_cm,distance_uncertainty_cm,height_uncertainty_cm,horizontal_line_position_uncertainty_cm,geometry_x_uncertainty_cm,geometry_y_uncertainty_cm,geometry_z_uncertainty_cm,instrument_orientation_deg,instrument_orientation_uncertainty_deg,radial_distance_from_source_cm,distance_from_source_3d_cm,height_group,height_group_label,plot_height_group,plot_height_group_label,coordinate_validation_passed,geometry_ready,above_cabinet,below_cabinet,within_cabinet_vertical_extent,horizontal_location,vertical_location,geometric_uncertainty_interpretation,measurement_quantity,instrument_model,detector_indicated_neutron_dose_equivalent_rate_uSv_h,detector_indicated_neutron_dose_equivalent_rate_uncertainty_uSv_h,net_plot_uncertainty_uSv_h
scan,P2,P2_x30_h85,30.0,85.0,,1,601,10.0,NF_P2_x_30_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,24.143094841930118,15.53403220049418,0.6336463901607193,,,0.6336463901607193,,not_repeated,False,False,pooled reading-level SEM,24.143094841930118,0.6336463901607193,0.6336463901607193,0.6336463901607193,0.5,0.09212147505241078,23.643094841930118,0.640307827477958,0.640307827477958,0.640307827477958,2.364309484193012,0.0640307827477958,36.92457569206275,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,71.3146013333518,-62.3146013333518,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,94.70418102000288,104.4264425453126,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,23.643094841930118,0.640307827477958,0.640307827477958
scan,P2,P2_x57_h85,57.0,85.0,,1,601,10.0,NF_P2_x_57_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,20.133111480865225,14.15328884520784,0.5773246939312139,,,0.5773246939312139,,not_repeated,False,False,pooled reading-level SEM,20.133111480865225,0.5773246939312139,0.5773246939312139,0.5773246939312139,0.5,0.09212147505241078,19.633111480865225,0.5846282309199597,0.5846282309199597,0.5846282309199597,1.9633111480865224,0.05846282309199598,33.58221591518244,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,90.40648442538858,-81.40648442538858,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,121.65668141396534,129.3690385395944,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,19.633111480865225,0.5846282309199597,0.5846282309199597
scan,P2,P2_x114_h85,114.0,85.0,,1,600,10.0,NF_P2_x_114_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,13.45,10.990852168309914,0.44869966084535645,,,0.44869966084535645,,not_repeated,False,False,pooled reading-level SEM,13.45,0.44869966084535645,0.44869966084535645,0.44869966084535645,0.5,0.09212147505241078,12.95,0.4580586772549668,0.4580586772549668,0.4580586772549668,1.295,0.04580586772549668,28.27148713262277,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,130.7115709530218,-121.7115709530218,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,178.6035309977362,183.94352743399077,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,12.95,0.4580586772549668,0.4580586772549668
scan,P2,P2_x156_h85,156.0,85.0,,1,600,10.0,NF_P2_x_156_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,10.633333333333333,10.34943187437969,0.4225137869987722,,,0.4225137869987722,,not_repeated,False,False,pooled reading-level SEM,10.633333333333333,0.4225137869987722,0.4225137869987722,0.4225137869987722,0.5,0.09212147505241078,10.133333333333333,0.4324398991419221,0.4324398991419221,0.4324398991419221,1.0133333333333332,0.04324398991419221,23.43292872244354,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,160.41005576285679,-151.41005576285679,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,220.5819371026427,224.927523829242,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,10.133333333333333,0.4324398991419221,0.4324398991419221
scan,P2,P2_x176_h85,176.0,85.0,,1,601,10.0,NF_P2_x_176_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,9.800332778702163,9.126521784835324,0.37227858865260344,,,0.37227858865260344,,not_repeated,False,False,pooled reading-level SEM,9.800332778702163,0.37227858865260344,0.37227858865260344,0.37227858865260344,0.5,0.09212147505241078,9.300332778702163,0.38350712344753946,0.38350712344753946,0.38350712344753946,0.9300332778702163,0.03835071234475394,24.250743232868192,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,174.55219138658774,-165.55219138658774,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,240.57430367926108,244.5649107921276,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,9.300332778702163,0.38350712344753946,0.38350712344753946
scan,P2,P2_x199_h85,199.0,85.0,,1,601,10.0,NF_P2_x_199_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,8.019966722129784,8.994791122212014,0.36690518284480006,,,0.36690518284480006,,not_repeated,False,False,pooled reading-level SEM,8.019966722129784,0.36690518284480006,0.36690518284480006,0.36690518284480006,0.5,0.09212147505241078,7.519966722129784,0.3782932452003447,0.3782932452003447,0.3782932452003447,0.7519966722129784,0.03782932452003447,19.8786703636413,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,190.81564735387835,-181.81564735387835,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,263.5669571433216,267.2144099740684,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,7.519966722129784,0.3782932452003447,0.3782932452003447
scan,P2,P2_x300_h85,300.0,85.0,,1,601,10.0,NF_P2_x_300_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,5.906821963394343,7.385885416336362,0.3012765502091178,,,0.3012765502091178,,not_repeated,False,False,pooled reading-level SEM,5.906821963394343,0.3012765502091178,0.3012765502091178,0.3012765502091178,0.5,0.09212147505241078,5.406821963394343,0.31504591073641797,0.31504591073641797,0.31504591073641797,0.5406821963394343,0.0315045910736418,17.162012834116553,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,262.2334322537196,-253.23343225371963,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,364.5456681988765,367.1914271910026,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,5.406821963394343,0.31504591073641797,0.31504591073641797
scan,P2,P2_x321_h85,321.0,85.0,,1,600,10.0,NF_P2_x_321_y_85_10_min_LONG_mrem.csv,False,0,1.0,0,4.316666666666666,6.266192158120676,0.25581622362708306,,,0.25581622362708306,,not_repeated,False,False,pooled reading-level SEM,4.316666666666666,0.25581622362708306,0.25581622362708306,0.25581622362708306,0.5,0.09212147505241078,3.8166666666666664,0.2718976028519812,0.2718976028519812,0.2718976028519812,0.38166666666666665,0.027189760285198122,14.037147170967991,True,True,True,False,valid,no quality issue identified,50.10139789775538,-41.10139789775538,0.7071067811865475,-0.7071067811865475,277.08267465863713,-268.08267465863713,44.0,1.0,1.0,1.0,0.7071067811865475,0.7071067811865475,1.0,90.0,1.0,385.54264232132977,388.0452667513326,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,3.8166666666666664,0.2718976028519812,0.2718976028519812
scan,P3,P3_x0_h85,0.0,85.0,,1,601,10.0,NF_P3_x_0_y_85_10_min_mrem.csv,False,0,1.0,0,37.587354409317804,20.928515789607523,0.8536919655081279,,,0.8536919655081279,,not_repeated,False,False,pooled reading-level SEM,37.587354409317804,0.8536919655081279,0.8536919655081279,0.8536919655081279,0.5,0.09212147505241078,37.087354409317804,0.858647971021281,0.858647971021281,0.858647971021281,3.7087354409317803,0.0858647971021281,43.19273516154226,True,True,True,False,valid,no quality issue identified,53.25,0.0,1.0,0.0,53.25,0.0,44.0,1.0,1.0,1.0,1.0,0.0,1.0,90.0,1.0,53.25,69.07649745029057,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,37.087354409317804,0.858647971021281,0.858647971021281
scan,P3,P3_x5_h85,5.0,85.0,,1,601,10.0,NF_P3_x_5_y_85_10_min_mrem.csv,False,0,1.0,0,35.008319467554074,22.234543635323476,0.906965952532628,,,0.906965952532628,,not_repeated,False,False,pooled reading-level SEM,35.008319467554074,0.906965952532628,0.906965952532628,0.906965952532628,0.5,0.09212147505241078,34.508319467554074,0.9116323849114012,0.9116323849114012,0.9116323849114012,3.4508319467554074,0.09116323849114012,37.853327765344616,True,True,True,False,valid,no quality issue identified,53.25,0.0,1.0,0.0,58.25,0.0,44.0,1.0,1.0,1.0,1.0,0.0,1.0,90.0,1.0,58.25,73.00042808093662,upper,Upper height group (85+ cm),upper,Upper height group (85+ cm),True,True,False,False,True,outside_cabinet_xy_projection,within_cabinet_vertical_extent,Estimated symmetric ± limits; retained separately from the vertical dose-rate uncertainty,Studsvik AE 2202 D indicated neutron dose-equivalent rate,AE 2202 D,34.508319467554074,0.9116323849114012,0.9116323849114012
