timestamp,raw,dec_val,tail,dt_s
2026-08-06 13:43:40.383,J30J40,0,40,1.000
2026-08-06 13:43:41.382,J31J40,1,40,0.999
2026-08-06 13:43:42.382,J30J40,0,40,1.000
2026-08-06 13:43:43.383,J30J40,0,40,1.001
2026-08-06 13:43:44.382,J31J40,1,40,0.999
2026-08-06 13:43:45.383,J30J40,0,40,1.000
2026-08-06 13:43:46.383,J31J40,1,40,1.000
2026-08-06 13:43:47.383,J30J40,0,40,1.000
2026-08-06 13:43:48.384,J31J40,1,40,1.000
2026-08-06 13:43:49.385,J30J40,0,40,1.001
2026-08-06 13:43:50.384,J30J40,0,40,0.999
2026-08-06 13:43:51.384,J30J40,0,40,1.000
2026-08-06 13:43:52.384,J31J40,1,40,1.000
2026-08-06 13:43:53.385,J30J40,0,40,1.000
2026-08-06 13:43:54.385,J31J40,1,40,1.000
2026-08-06 13:43:55.385,J30J40,0,40,1.000
2026-08-06 13:43:56.386,J31J40,1,40,1.001
2026-08-06 13:43:57.386,J31J40,1,40,1.001
2026-08-06 13:43:58.386,J30J40,0,40,1.000
2026-08-06 13:43:59.386,J30J40,0,40,1.000
2026-08-06 13:44:00.387,J30J40,0,40,1.001
2026-08-06 13:44:01.387,J30J40,0,40,1.000
2026-08-06 13:44:02.387,J30J40,0,40,1.000
2026-08-06 13:44:03.388,J31J40,1,40,1.001
2026-08-06 13:44:04.388,J30J40,0,40,0.999
2026-08-06 13:44:05.388,J30J40,0,40,1.001
2026-08-06 13:44:06.390,J31J40,1,40,1.002
2026-08-06 13:44:07.388,J32J40,2,40,0.998
2026-08-06 13:44:08.389,J30J40,0,40,1.001
2026-08-06 13:44:09.389,J30J40,0,40,1.000
2026-08-06 13:44:10.390,J30J40,0,40,1.001
2026-08-06 13:44:11.390,J31J40,1,40,1.000
2026-08-06 13:44:12.390,J30J40,0,40,1.000
2026-08-06 13:44:13.390,J30J40,0,40,1.000
2026-08-06 13:44:14.392,J30J40,0,40,1.002
2026-08-06 13:44:15.392,J31J40,1,40,1.000
2026-08-06 13:44:16.392,J30J40,0,40,1.000
2026-08-06 13:44:17.392,J30J40,0,40,1.000
2026-08-06 13:44:18.392,J30J40,0,40,1.001
2026-08-06 13:44:19.392,J30J40,0,40,1.000
2026-08-06 13:44:20.392,J31J40,1,40,1.000
2026-08-06 13:44:21.393,J31J40,1,40,1.001
2026-08-06 13:44:22.393,J32J40,2,40,1.000
2026-08-06 13:44:23.393,J30J40,0,40,1.001
2026-08-06 13:44:24.393,J32J40,2,40,1.000
2026-08-06 13:44:25.394,J30J40,0,40,1.001
2026-08-06 13:44:26.394,J30J40,0,40,1.000
2026-08-06 13:44:27.395,J30J40,0,40,1.001
2026-08-06 13:44:28.395,J32J40,2,40,1.000
2026-08-06 13:44:29.395,J33J40,3,40,1.000
2026-08-06 13:44:30.396,J31J40,1,40,1.000
2026-08-06 13:44:31.396,J30J40,0,40,1.000
2026-08-06 13:44:32.396,J30J40,0,40,1.000
2026-08-06 13:44:33.397,J31J40,1,40,1.001
2026-08-06 13:44:34.397,J30J40,0,40,0.999
2026-08-06 13:44:35.397,J30J40,0,40,1.001
2026-08-06 13:44:36.397,J30J40,0,40,1.000
2026-08-06 13:44:37.397,J31J40,1,40,1.000
2026-08-06 13:44:38.398,J30J40,0,40,1.001
2026-08-06 13:44:39.398,J31J40,1,40,1.000
2026-08-06 13:44:40.399,J32J40,2,40,1.001
2026-08-06 13:44:41.399,J31J40,1,40,1.001
2026-08-06 13:44:42.399,J30J40,0,40,0.999
2026-08-06 13:44:43.399,J31J40,1,40,1.000
2026-08-06 13:44:44.400,J30J40,0,40,1.000
2026-08-06 13:44:45.400,J31J40,1,40,1.000
2026-08-06 13:44:46.400,J32J40,2,40,1.000
2026-08-06 13:44:47.400,J30J40,0,40,1.000
2026-08-06 13:44:48.400,J31J40,1,40,1.000
2026-08-06 13:44:49.400,J30J40,0,40,1.000
2026-08-06 13:44:50.401,J30J40,0,40,1.000
2026-08-06 13:44:51.401,J31J40,1,40,1.000
2026-08-06 13:44:52.401,J30J40,0,40,1.000
2026-08-06 13:44:53.402,J32J40,2,40,1.000
2026-08-06 13:44:54.402,J31J40,1,40,1.000
2026-08-06 13:44:55.403,J30J40,0,40,1.001
2026-08-06 13:44:56.402,J30J40,0,40,0.999
2026-08-06 13:44:57.403,J30J40,0,40,1.001
2026-08-06 13:44:58.403,J30J40,0,40,1.000
2026-08-06 13:44:59.403,J31J40,1,40,1.000
2026-08-06 13:45:00.403,J30J40,0,40,1.000
2026-08-06 13:45:01.404,J30J40,0,40,1.001
2026-08-06 13:45:02.404,J30J40,0,40,0.999
2026-08-06 13:45:03.404,J30J40,0,40,1.000
2026-08-06 13:45:04.404,J30J40,0,40,1.000
2026-08-06 13:45:05.405,J30J40,0,40,1.001
2026-08-06 13:45:06.405,J30J40,0,40,1.000
2026-08-06 13:45:07.405,J30J40,0,40,1.000
2026-08-06 13:45:08.406,J31J40,1,40,1.001
2026-08-06 13:45:09.406,J30J40,0,40,0.999
2026-08-06 13:45:10.406,J31J40,1,40,1.001
2026-08-06 13:45:11.406,J31J40,1,40,1.000
2026-08-06 13:45:12.406,J30J40,0,40,1.000
2026-08-06 13:45:13.407,J32J40,2,40,1.000
2026-08-06 13:45:14.408,J30J40,0,40,1.001
2026-08-06 13:45:15.409,J31J40,1,40,1.001
2026-08-06 13:45:16.409,J30J40,0,40,1.000
2026-08-06 13:45:17.409,J30J40,0,40,1.000
2026-08-06 13:45:18.410,J30J40,0,40,1.001
2026-08-06 13:45:19.410,J31J40,1,40,1.000
2026-08-06 13:45:20.409,J31J40,1,40,0.999
2026-08-06 13:45:21.410,J32J40,2,40,1.000
2026-08-06 13:45:22.410,J30J40,0,40,1.001
2026-08-06 13:45:23.410,J30J40,0,40,1.000
2026-08-06 13:45:24.411,J30J40,0,40,1.001
2026-08-06 13:45:25.411,J30J40,0,40,1.000
2026-08-06 13:45:26.411,J31J40,1,40,1.000
2026-08-06 13:45:27.411,J30J40,0,40,1.000
2026-08-06 13:45:28.411,J31J40,1,40,1.000
2026-08-06 13:45:29.412,J30J40,0,40,1.000
2026-08-06 13:45:30.412,J30J40,0,40,1.000
2026-08-06 13:45:31.413,J30J40,0,40,1.001
2026-08-06 13:45:32.413,J30J40,0,40,1.000
2026-08-06 13:45:33.413,J30J40,0,40,1.000
2026-08-06 13:45:34.413,J31J40,1,40,1.000
2026-08-06 13:45:35.414,J30J40,0,40,1.001
2026-08-06 13:45:36.415,J31J40,1,40,1.001
2026-08-06 13:45:37.414,J30J40,0,40,0.999
2026-08-06 13:45:38.414,J30J40,0,40,1.000
2026-08-06 13:45:39.415,J30J40,0,40,1.001
2026-08-06 13:45:40.415,J30J40,0,40,1.000
2026-08-06 13:45:41.415,J31J40,1,40,1.000
2026-08-06 13:45:42.415,J30J40,0,40,1.000
2026-08-06 13:45:43.416,J30J40,0,40,1.001
2026-08-06 13:45:44.416,J30J40,0,40,1.000
2026-08-06 13:45:45.417,J30J40,0,40,1.001
2026-08-06 13:45:46.417,J31J40,1,40,1.000
2026-08-06 13:45:47.417,J30J40,0,40,1.000
2026-08-06 13:45:48.418,J30J40,0,40,1.001
2026-08-06 13:45:49.418,J30J40,0,40,1.001
2026-08-06 13:45:50.418,J30J40,0,40,1.000
2026-08-06 13:45:51.418,J30J40,0,40,1.000
2026-08-06 13:45:52.419,J30J40,0,40,1.000
2026-08-06 13:45:53.419,J30J40,0,40,1.000
2026-08-06 13:45:54.419,J31J40,1,40,1.000
2026-08-06 13:45:55.419,J30J40,0,40,1.000
2026-08-06 13:45:56.421,J31J40,1,40,1.001
2026-08-06 13:45:57.420,J30J40,0,40,0.999
