timestamp,raw,mrem/h,tail,dt_s
2026-03-06 13:02:13.068,J32J40,2,40,1.000
2026-03-06 13:02:14.066,J32J40,2,40,0.999
2026-03-06 13:02:15.067,J33J40,3,40,1.000
2026-03-06 13:02:16.067,J30J40,0,40,1.001
2026-03-06 13:02:17.068,J31J40,1,40,1.000
2026-03-06 13:02:18.068,J31J40,1,40,1.000
2026-03-06 13:02:19.069,J30J40,0,40,1.001
2026-03-06 13:02:20.068,J30J40,0,40,1.000
2026-03-06 13:02:21.068,J32J40,2,40,1.000
2026-03-06 13:02:22.069,J30J40,0,40,1.001
2026-03-06 13:02:23.070,J31J40,1,40,1.002
2026-03-06 13:02:24.069,J30J40,0,40,0.999
2026-03-06 13:02:25.070,J30J40,0,40,1.001
2026-03-06 13:02:26.071,J30J40,0,40,1.001
2026-03-06 13:02:27.071,J30J40,0,40,1.000
2026-03-06 13:02:28.070,J30J40,0,40,1.000
2026-03-06 13:02:29.071,J31J40,1,40,1.000
2026-03-06 13:02:30.072,J32J40,2,40,1.001
2026-03-06 13:02:31.071,J30J40,0,40,0.999
2026-03-06 13:02:32.072,J31J40,1,40,1.000
2026-03-06 13:02:33.072,J30J40,0,40,1.000
2026-03-06 13:02:34.072,J32J40,2,40,1.001
2026-03-06 13:02:35.072,J30J40,0,40,1.000
2026-03-06 13:02:36.073,J31J40,1,40,1.000
2026-03-06 13:02:37.073,J30J40,0,40,1.000
2026-03-06 13:02:38.075,J31J40,1,40,1.002
2026-03-06 13:02:39.075,J31J40,1,40,1.000
2026-03-06 13:02:40.075,J30J40,0,40,1.000
2026-03-06 13:02:41.075,J31J40,1,40,1.000
2026-03-06 13:02:42.077,J30J40,0,40,1.001
2026-03-06 13:02:43.077,J34J40,4,40,1.000
2026-03-06 13:02:44.077,J30J40,0,40,1.000
2026-03-06 13:02:45.077,J30J40,0,40,1.000
2026-03-06 13:02:46.078,J31J40,1,40,1.000
2026-03-06 13:02:47.078,J34J40,4,40,1.000
2026-03-06 13:02:48.078,J31J40,1,40,1.000
2026-03-06 13:02:49.078,J30J40,0,40,1.000
2026-03-06 13:02:50.079,J31J40,1,40,1.001
