position,point_name,distance_cm,height_cm,x_cm,y_cm,z_cm,tally,detector_volume_cm3,flux_per_source [n/cm2/source],u_mc_per_source [n/cm2/source],flux_physical [n/cm2/s],u_mc_physical [n/cm2/s],rel_u_mc [%],mc_uncertainty_class
P2,P2_x156_h85,156.0,85.0,160.41005576285679,-151.41005576285679,44.0,flux_P2_x156_h85,8.0,3.7115415397189165e-07,6.495936312248029e-08,4.06058933712378,0.7106839420190655,17.50199005650892,high
P2,P2_x176_h85,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,flux_P2_x176_h85,8.0,3.244129837306343e-07,5.6423366503671816e-08,3.549220420852104,0.6172963927187731,17.39245015869066,high
P2,P2_x199_h85,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,flux_P2_x199_h85,8.0,2.4806651714219125e-07,5.0583998167718384e-08,2.7139565693269865,0.5534111403330314,20.39130421568491,high
P2,P2_x300_h85,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,flux_P2_x300_h85,8.0,1.0382559619899289e-07,3.6819823854353755e-08,1.1358975895446342,0.4028250325041152,35.46314704881118,very high
P2,P2_x321_h85,321.0,85.0,277.08267465863713,-268.08267465863713,44.0,flux_P2_x321_h85,8.0,5.732948834518502e-08,2.2714648418299497e-08,0.6272097633449903,0.24850822273390916,39.62122997074899,very high
P3,P3_x0_h45,0.0,45.0,53.25,0.0,4.0,flux_P3_x0_h45,8.0,9.428718758795127e-06,3.1052132968578785e-07,103.15432131092881,3.397239628812288,3.2933565803533265,low
P3,P3_x5_h45,5.0,45.0,58.25,0.0,4.0,flux_P3_x5_h45,8.0,8.180660777161757e-06,3.131552632686269e-07,89.50001924236973,3.4260560181931234,3.8279947280404745,low
P3,P3_x57_h45,57.0,45.0,110.25,0.0,4.0,flux_P3_x57_h45,8.0,1.8024501722444808e-06,1.5352917344041813e-07,19.719595946290134,1.6796765385436105,8.517804031677484,moderate
P3,P3_x114_h45,114.0,45.0,167.25,0.0,4.0,flux_P3_x114_h45,8.0,6.733538884545654e-07,9.154143574968781e-08,7.366787062220275,1.0015034829391523,13.594847719642235,high
P3,P3_x176_h45,176.0,45.0,229.25,0.0,4.0,flux_P3_x176_h45,8.0,3.492547895553164e-07,6.988500755223083e-08,3.821000679181754,0.7645726538544795,20.009749226692325,high
P3,P3_x199_h45,199.0,45.0,252.25,0.0,4.0,flux_P3_x199_h45,8.0,2.8146471626301134e-07,5.7526207378339e-08,3.079347525558637,0.6293619559040283,20.4381594048841,high
P3,P3_x225_h45,225.0,45.0,278.25,0.0,4.0,flux_P3_x225_h45,8.0,1.6849409820421235e-07,4.2770938583638966e-08,1.8433993832873188,0.46793283947632514,25.38423543583184,very high
P3,P3_x300_h45,300.0,45.0,353.25,0.0,4.0,flux_P3_x300_h45,8.0,7.468466217059825e-08,3.012243682838962e-08,0.8170829818587718,0.32955267908117425,40.3328286597622,very high
P3,P3_x0_h85,0.0,85.0,53.25,0.0,44.0,flux_P3_x0_h85,8.0,3.9251249786059755e-06,2.0753662949938788e-07,42.94258993047043,2.270541810699077,5.287389080107594,moderate
P3,P3_x5_h85,5.0,85.0,58.25,0.0,44.0,flux_P3_x5_h85,8.0,3.450079482094878e-06,2.0842539319226397e-07,37.74538370998524,2.280265275561035,6.041176566335471,moderate
P3,P3_x57_h85,57.0,85.0,110.25,0.0,44.0,flux_P3_x57_h85,8.0,1.3064008042494606e-06,1.1884907583369647e-07,14.292598153561366,1.3002610502747372,9.097443559978238,moderate
P3,P3_x100_h85,100.0,85.0,153.25,0.0,44.0,flux_P3_x100_h85,8.0,4.880716039041826e-07,7.057903722495697e-08,5.339717552282375,0.7721656430708489,14.460795641537246,high
P3,P3_x114_h85,114.0,85.0,167.25,0.0,44.0,flux_P3_x114_h85,8.0,5.350900691959534e-07,7.50268712491646e-08,5.85412019810632,0.8208268993675025,14.021353706284032,high
P3,P3_x176_h85,176.0,85.0,229.25,0.0,44.0,flux_P3_x176_h85,8.0,2.6641306479795433e-07,5.1963636781743824e-08,2.914675852640374,0.5685049922682578,19.504913102198145,high
P3,P3_x200_h85,200.0,85.0,253.25,0.0,44.0,flux_P3_x200_h85,8.0,2.607469095303072e-07,5.598116800009022e-08,2.852685627241905,0.6124585470168724,21.46954228563288,high
P3,P3_x225_h85,225.0,85.0,278.25,0.0,44.0,flux_P3_x225_h85,8.0,1.1167569725427794e-07,3.475946354377644e-08,1.2217811403531444,0.3802837864524898,31.125360663414096,very high
P3,P3_x300_h85,300.0,85.0,353.25,0.0,44.0,flux_P3_x300_h85,8.0,8.476952278192798e-08,3.162668280366612e-08,0.9274157830049133,0.34600979023634587,37.309025420641646,very high
P3,P3_x400_h85,400.0,85.0,453.25,0.0,44.0,flux_P3_x400_h85,8.0,1.4628042899239463e-07,4.011614715531212e-08,1.6003720929427983,0.4388882561117321,27.424138301780495,very high
P4,P4_x0_h42,0.0,42.0,50.10139789775538,41.10139789775538,1.0,flux_P4_x0_h42,8.0,3.0647870268400822e-06,1.8250329496186344e-07,33.5301151517884,1.9966661441925333,5.954844279996566,moderate
P4,P4_x20_h42,20.0,42.0,64.24353352148633,55.243533521486334,1.0,flux_P4_x20_h42,8.0,1.8860530133974814e-06,1.519037374724851e-07,20.634247720239664,1.6618935556807375,8.054054493349055,moderate
P4,P4_x71_h42,71.0,42.0,100.30597936200024,91.30597936200024,1.0,flux_P4_x71_h42,8.0,1.022523797236198e-06,1.0864685702568706e-07,11.186859108485333,1.1886442989505852,10.62536219884085,high
P4,P4_x85_h45,85.0,45.0,110.20547429861192,101.20547429861192,4.0,flux_P4_x85_h45,8.0,6.980750666001062e-07,8.432142852935468e-08,7.63724760079887,0.9225134352215085,12.079134832881573,high
P4,P4_x152_h113,152.0,113.0,157.5816286381106,148.5816286381106,72.0,flux_P4_x152_h113,8.0,3.878662229999293e-07,6.809493216433245e-08,4.24342670690751,0.7449884434799989,17.556293414171527,high
P5,P5_x0_h45,0.0,45.0,0.0,44.25,4.0,flux_P5_x0_h45,8.0,1.3754054313108451e-05,4.231121199225715e-07,150.47539058463326,4.629032288011375,3.0762719870847093,low
P5,P5_x6_h45,6.0,45.0,0.0,50.25,4.0,flux_P5_x6_h45,8.0,1.1238775097603323e-05,3.533216851475127e-07,122.95713205763136,3.8654943018453944,3.1437739618337837,low
P5,P5_x0_h85,0.0,85.0,0.0,44.25,44.0,flux_P5_x0_h85,8.0,5.62791046702558e-06,2.2458640211832314e-07,61.571810494736006,2.457073805979067,3.9905823561727662,low
P5,P5_x6_h85,6.0,85.0,0.0,50.25,44.0,flux_P5_x6_h85,8.0,4.791348465979715e-06,2.2553508017276705e-07,52.419455051754674,2.467452760251878,4.707131651436891,low
