position,distance_cm,common_dose_x_cm,common_dose_y_cm,median_log10_ratio,represented_target_heights,comparison
P2,57.0,90.40648442538858,-81.40648442538858,-0.5196425831039911,"55, 85",Massive / measured
P2,114.0,130.7115709530218,-121.7115709530218,-0.5136372142164812,"55, 85",Massive / measured
P2,156.0,160.4100557628568,-151.4100557628568,,85,Massive / measured
P2,176.0,174.55219138658774,-165.55219138658774,-0.7548207383316702,"55, 85",Massive / measured
P2,199.0,190.81564735387835,-181.81564735387835,-0.5559095828550179,"55, 85",Massive / measured
P2,200.0,191.5227541350648,-182.5227541350648,-0.5530185055211148,85,Massive / measured
P2,300.0,262.2334322537196,-253.23343225371963,,85,Massive / measured
P2,321.0,277.0826746586372,-268.0826746586372,-0.6700585381306418,"55, 85",Massive / measured
P2,400.0,332.9441103723741,-323.9441103723741,,85,Massive / measured
P2,420.0,347.0862459961053,-338.0862459961053,,55,Massive / measured
P3,0.0,53.25,0.0,,"45, 85",Massive / measured
P3,5.0,58.25,0.0,-0.3172768302068868,"45, 85",Massive / measured
P3,57.0,110.25,0.0,-0.3813371917642697,"45, 85",Massive / measured
P3,100.0,153.25,0.0,,85,Massive / measured
P3,114.0,167.25,0.0,-0.5403156247539489,"45, 85",Massive / measured
P3,176.0,229.25,0.0,-0.5294738777894503,"45, 85",Massive / measured
P3,199.0,252.25,0.0,,45,Massive / measured
P3,200.0,253.25,0.0,,85,Massive / measured
P3,225.0,278.25,0.0,,"45, 85",Massive / measured
P3,300.0,353.25,0.0,,"45, 85",Massive / measured
P3,320.0,373.24999999999983,0.0,,45,Massive / measured
P3,400.0,453.25,0.0,,85,Massive / measured
P4,0.0,50.10139789775533,41.10139789775533,,45,Massive / measured
P4,0.0,50.10139789775538,41.10139789775538,-0.41532787830665985,42,Massive / measured
P4,20.0,64.24353352148628,55.243533521486285,,45,Massive / measured
P4,20.0,64.24353352148633,55.243533521486334,-0.36852849891762146,42,Massive / measured
P4,71.0,100.3059793620002,91.3059793620002,,45,Massive / measured
P4,71.0,100.30597936200024,91.30597936200024,-1.143539873310743,42,Massive / measured
P4,85.0,110.20547429861185,101.20547429861186,,42,Massive / measured
P4,85.0,110.20547429861192,101.20547429861192,,45,Massive / measured
P4,138.0,147.6821337014988,138.68213370149886,,113,Massive / measured
P4,152.0,157.5816286381106,148.5816286381106,,113,Massive / measured
P5,0.0,0.0,44.25,-0.45390890217233587,"45, 85",Massive / measured
P5,6.0,0.0,50.25,-0.35588811657281916,"45, 85",Massive / measured
P1,0.0,0.0,-44.25,0.15143359037995643,"42, 85",Hollow / massive
P1,4.0,0.0,-48.25,0.1659085141658905,"42, 85",Hollow / massive
P1,6.0,0.0,-50.25000000000003,0.1293907503508489,42,Hollow / massive
P1,7.0,0.0,-51.25,0.11335783757955335,85,Hollow / massive
P1,10.0,0.0,-54.25000000000002,0.13534215519256132,42,Hollow / massive
P1,13.0,0.0,-57.25000000000002,0.13980570882384538,42,Hollow / massive
P1,30.0,0.0,-74.25000000000001,0.16509917940112312,42,Hollow / massive
P1,57.0,0.0,-101.25,0.21070029446200292,"42, 85",Hollow / massive
P1,75.0,0.0,-119.25,0.221903093668876,42,Hollow / massive
P1,87.0,0.0,-131.24999999999997,0.23299104805967205,42,Hollow / massive
P1,114.0,0.0,-158.25,0.21619250761689102,"42, 85",Hollow / massive
P1,124.0,0.0,-168.24999999999994,0.27766925710582424,42,Hollow / massive
P1,164.0,0.0,-208.24999999999997,0.35659050377326734,42,Hollow / massive
P1,176.0,0.0,-220.25,0.29683587583229554,"42, 85",Hollow / massive
P1,184.0,0.0,-228.2499999999999,0.3972486417754824,42,Hollow / massive
P1,199.0,0.0,-243.25,0.1750758609981019,"42, 85",Hollow / massive
P1,203.0,0.0,-247.2499999999999,0.4171533145851797,42,Hollow / massive
P1,320.0,0.0,-364.25,0.0947718927940748,"42, 85",Hollow / massive
P1,321.0,0.0,-365.24999999999983,0.07327311566330703,42,Hollow / massive
P1,334.0,0.0,-378.24999999999983,0.14154574707981388,42,Hollow / massive
P1,420.0,0.0,-464.25,0.3904069320618763,"42, 85",Hollow / massive
P2,0.0,50.10139789775538,-41.10139789775538,0.25018174996933884,85,Hollow / massive
P2,2.0,51.51561146012848,-42.51561146012848,0.2225376508210807,55,Hollow / massive
P2,5.0,53.63693180368812,-44.63693180368812,0.056298929520993184,85,Hollow / massive
P2,30.0,71.3146013333518,-62.3146013333518,0.1911234652743279,85,Hollow / massive
P2,57.0,90.40648442538858,-81.40648442538858,0.16233830515486736,"55, 85",Hollow / massive
P2,114.0,130.7115709530218,-121.7115709530218,0.08494026086191865,"55, 85",Hollow / massive
P2,156.0,160.4100557628568,-151.4100557628568,0.2418552331940155,85,Hollow / massive
P2,176.0,174.55219138658774,-165.55219138658774,-0.014439340285396072,"55, 85",Hollow / massive
P2,199.0,190.81564735387835,-181.81564735387835,-0.021372098965345004,"55, 85",Hollow / massive
P2,200.0,191.5227541350648,-182.5227541350648,-0.14189354908035354,85,Hollow / massive
P2,300.0,262.2334322537196,-253.23343225371963,0.30827616723175805,85,Hollow / massive
P2,321.0,277.0826746586372,-268.0826746586372,0.24972034003742102,"55, 85",Hollow / massive
P2,400.0,332.9441103723741,-323.9441103723741,,85,Hollow / massive
P2,420.0,347.0862459961053,-338.0862459961053,0.33485332108432475,55,Hollow / massive
P3,0.0,53.25,0.0,0.1762473931212601,"45, 85",Hollow / massive
P3,5.0,58.25,0.0,0.13324628332668534,"45, 85",Hollow / massive
P3,57.0,110.25,0.0,0.0973936888027221,"45, 85",Hollow / massive
P3,100.0,153.25,0.0,0.10521044400133396,85,Hollow / massive
P3,114.0,167.25,0.0,0.14822914435693968,"45, 85",Hollow / massive
P3,176.0,229.25,0.0,0.08516975007124875,"45, 85",Hollow / massive
P3,199.0,252.25,0.0,0.14844727211759928,45,Hollow / massive
P3,200.0,253.25,0.0,0.0667024454625233,85,Hollow / massive
P3,225.0,278.25,0.0,0.38277308316506775,"45, 85",Hollow / massive
P3,300.0,353.25,0.0,0.4612191936117159,"45, 85",Hollow / massive
P3,320.0,373.24999999999983,0.0,,45,Hollow / massive
P3,400.0,453.25,0.0,-0.37198923421941643,85,Hollow / massive
P4,0.0,50.10139789775533,41.10139789775533,,45,Hollow / massive
P4,0.0,50.10139789775538,41.10139789775538,0.1925763079699104,42,Hollow / massive
P4,20.0,64.24353352148628,55.243533521486285,,45,Hollow / massive
P4,20.0,64.24353352148633,55.243533521486334,0.14614318959744266,42,Hollow / massive
P4,71.0,100.3059793620002,91.3059793620002,,45,Hollow / massive
P4,71.0,100.30597936200024,91.30597936200024,0.07923127314640777,42,Hollow / massive
P4,85.0,110.20547429861185,101.20547429861186,,42,Hollow / massive
P4,85.0,110.20547429861192,101.20547429861192,0.17194852360574234,45,Hollow / massive
P4,138.0,147.6821337014988,138.68213370149886,,113,Hollow / massive
P4,152.0,157.5816286381106,148.5816286381106,0.06143173349228212,113,Hollow / massive
P5,0.0,0.0,44.25,0.14940873233386004,"45, 85",Hollow / massive
P5,6.0,0.0,50.25,0.1365877765353941,"45, 85",Hollow / massive
