output_type,filename,path,rows,status
table,11_normalized_attenuation_data.csv,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/11_normalized_attenuation_data.csv,51.0,exported
table,12_dose_rate_plotting_summary.csv,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/12_dose_rate_plotting_summary.csv,10.0,exported
table,measured_neutron_dose_and_flux_summary.csv,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/tables/measured_neutron_dose_and_flux_summary.csv,61.0,exported
figure,environmental_neutron_background.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/environmental_neutron_background.png,,exported
figure,environmental_neutron_background.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/environmental_neutron_background.pdf,,exported
figure,measured_neutron_geometry_xy.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_geometry_xy.png,,exported
figure,measured_neutron_geometry_xy.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_geometry_xy.pdf,,exported
figure,measured_neutron_dose_rate_all_points_linear.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_all_points_linear.png,,exported
figure,measured_neutron_dose_rate_all_points_linear.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_all_points_linear.pdf,,exported
figure,measured_neutron_dose_rate_all_points.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_all_points.png,,exported
figure,measured_neutron_dose_rate_all_points.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_all_points.pdf,,exported
figure,measured_neutron_dose_rate_lower_height_linear.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_lower_height_linear.png,,exported
figure,measured_neutron_dose_rate_lower_height_linear.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_lower_height_linear.pdf,,exported
figure,measured_neutron_dose_rate_lower_height.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_lower_height.png,,exported
figure,measured_neutron_dose_rate_lower_height.pdf,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_lower_height.pdf,,exported
figure,measured_neutron_dose_rate_upper_height_linear.png,/root/Rfys_VI/RFP-master/Bachelor_projekt/NF_AmBe_Parafifn/N4_measured_neutron_outputs/figures/measured_neutron_dose_rate_upper_height_linear.png,,exported
